study_id,substudy_id,target_product,target_variant,model_id,T_C,P_Pa,runtime_seconds,H2O_mol,HCN_mol,C2H2_mol,NH3_mol,C2H2_over_HCN,deltaG_offset_kJ_mol,case_id,X_eq,log10_X_eq,n_eq_mol,log10_n_eq_mol,formed_bool,formation_call,solver_status,error_message,element_balance_relative_spread,suspect_balance
lysine,deltaG_sweep,Lysine(aq),Lysine__dG_m200(aq),M_27d21f8fc956,0.0,101325.0,0.0049663749960018,1.0,0.02,0.042,0.0,2.1,-200.0,LYS_DG_000001,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
lysine,deltaG_sweep,Lysine(aq),Lysine__dG_m160(aq),M_c8e32c6be7ad,0.0,101325.0,0.0045849579910282,1.0,0.02,0.042,0.0,2.1,-160.0,LYS_DG_000002,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
lysine,deltaG_sweep,Lysine(aq),Lysine__dG_m120(aq),M_7feae772d5cf,0.0,101325.0,0.0045735000021522,1.0,0.02,0.042,0.0,2.1,-120.0,LYS_DG_000003,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
lysine,deltaG_sweep,Lysine(aq),Lysine__dG_m080(aq),M_0ae6e4caf8d4,0.0,101325.0,0.0045256659941514,1.0,0.02,0.042,0.0,2.1,-80.0,LYS_DG_000004,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
lysine,deltaG_sweep,Lysine(aq),Lysine__dG_m040(aq),M_c873ea435fcc,0.0,101325.0,0.0044772920082323,1.0,0.02,0.042,0.0,2.1,-40.0,LYS_DG_000005,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
lysine,deltaG_sweep,Lysine(aq),Lysine__dG_000(aq),M_01e4d0d684eb,0.0,101325.0,0.0049947910010814,1.0,0.02,0.042,0.0,2.1,0.0,LYS_DG_000006,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
lysine,deltaG_sweep,Lysine(aq),Lysine__dG_p040(aq),M_bff3d5d0aaa9,0.0,101325.0,0.0045823749969713,1.0,0.02,0.042,0.0,2.1,40.0,LYS_DG_000007,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
lysine,deltaG_sweep,Lysine(aq),Lysine__dG_p080(aq),M_f88afb06b490,0.0,101325.0,0.0044992080074734,1.0,0.02,0.042,0.0,2.1,80.0,LYS_DG_000008,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
lysine,deltaG_sweep,Lysine(aq),Lysine__dG_p120(aq),M_3d3519a3d7d0,0.0,101325.0,0.0048133330128621,1.0,0.02,0.042,0.0,2.1,120.0,LYS_DG_000009,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
lysine,deltaG_sweep,Lysine(aq),Lysine__dG_p160(aq),M_aa42e7938809,0.0,101325.0,0.0045322920050239,1.0,0.02,0.042,0.0,2.1,160.0,LYS_DG_000010,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
lysine,deltaG_sweep,Lysine(aq),Lysine__dG_p200(aq),M_99cffa65d1dd,0.0,101325.0,0.004705790997832,1.0,0.02,0.042,0.0,2.1,200.0,LYS_DG_000011,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
lysine,inventory_landscape,Lysine(aq),Lysine(aq),M_730bb12e01ab,0.0,101325.0,0.006160875011119,1.0,0.02,0.0,0.0,0.0,0.0,LYS_INV_000001,0.0,,0.0,,False,below_threshold,ok,nan,0.0,False
lysine,inventory_landscape,Lysine(aq),Lysine(aq),M_730bb12e01ab,0.0,101325.0,0.000983666992397,1.0,0.02,0.0041666666666666,0.0,0.2083333333333333,0.0,LYS_INV_000002,0.0,,0.0,,False,below_threshold,ok,nan,1.0840257360050348e-15,False
lysine,inventory_landscape,Lysine(aq),Lysine(aq),M_730bb12e01ab,0.0,101325.0,0.0009214590099873,1.0,0.02,0.0083333333333333,0.0,0.4166666666666667,0.0,LYS_INV_000003,0.0,,0.0,,False,below_threshold,ok,nan,5.18224037426328e-15,False
lysine,inventory_landscape,Lysine(aq),Lysine(aq),M_730bb12e01ab,0.0,101325.0,0.0008779159979894,1.0,0.02,0.0125,0.0,0.625,0.0,LYS_INV_000004,0.0,,0.0,,False,below_threshold,ok,nan,3.2258296115016613e-15,False
lysine,inventory_landscape,Lysine(aq),Lysine(aq),M_730bb12e01ab,0.0,101325.0,0.0008930420008255,1.0,0.02,0.0166666666666666,0.0,0.8333333333333334,0.0,LYS_INV_000005,0.0,,0.0,,False,below_threshold,ok,nan,1.4993365605870281e-15,False
lysine,inventory_landscape,Lysine(aq),Lysine(aq),M_730bb12e01ab,0.0,101325.0,0.0010677920072339,1.0,0.02,0.0208333333333333,0.0,1.0416666666666667,0.0,LYS_INV_000006,0.0,,0.0,,False,below_threshold,ok,nan,3.8400027753248004e-15,False
lysine,inventory_landscape,Lysine(aq),Lysine(aq),M_730bb12e01ab,0.0,101325.0,0.0008956250094342,1.0,0.02,0.025,0.0,1.25,0.0,LYS_INV_000007,0.0,,0.0,,False,below_threshold,ok,nan,2.3373116307898003e-15,False
lysine,inventory_landscape,Lysine(aq),Lysine(aq),M_730bb12e01ab,0.0,101325.0,0.0009204590023728,1.0,0.02,0.0291666666666666,0.0,1.4583333333333337,0.0,LYS_INV_000008,0.0,,0.0,,False,below_threshold,ok,nan,2.9629462769980332e-15,False
lysine,inventory_landscape,Lysine(aq),Lysine(aq),M_730bb12e01ab,0.0,101325.0,0.0008782499935477,1.0,0.02,0.0333333333333333,0.0,1.6666666666666667,0.0,LYS_INV_000009,0.0,,0.0,,False,below_threshold,ok,nan,8.432073604748025e-16,False
lysine,inventory_landscape,Lysine(aq),Lysine(aq),M_730bb12e01ab,0.0,101325.0,0.0008568330085836,1.0,0.02,0.0375,0.0,1.875,0.0,LYS_INV_000010,0.0,,0.0,,False,below_threshold,ok,nan,1.4697988032862584e-15,False
lysine,inventory_landscape,Lysine(aq),Lysine(aq),M_730bb12e01ab,0.0,101325.0,0.0008517920068698,1.0,0.02,0.0416666666666666,0.0,2.083333333333333,0.0,LYS_INV_000011,0.0,,0.0,,False,below_threshold,ok,nan,3.555502308061724e-15,False
lysine,inventory_landscape,Lysine(aq),Lysine(aq),M_730bb12e01ab,0.0,101325.0,0.0008523750002495,1.0,0.02,0.0458333333333333,0.0,2.291666666666667,0.0,LYS_INV_000012,0.0,,0.0,,False,below_threshold,ok,nan,4.7915802157395315e-15,False
lysine,inventory_landscape,Lysine(aq),Lysine(aq),M_730bb12e01ab,0.0,101325.0,0.0011227909999433,1.0,0.02,0.05,0.0,2.5,0.0,LYS_INV_000013,0.0,,0.0,,False,below_threshold,ok,nan,1.452628256518896e-15,False
lysine,inventory_landscape,Lysine(aq),Lysine(aq),M_730bb12e01ab,0.0,101325.0,0.0009307500004069,1.0,0.02,0.0541666666666666,0.0,2.708333333333333,0.0,LYS_INV_000014,0.0,,0.0,,False,below_threshold,ok,nan,1.8604202740033653e-15,False
lysine,inventory_landscape,Lysine(aq),Lysine(aq),M_730bb12e01ab,0.0,101325.0,0.0008942919957917,1.0,0.02,0.0583333333333333,0.0,2.916666666666667,0.0,LYS_INV_000015,0.0,,0.0,,False,below_threshold,ok,nan,1.0295731294823705e-15,False
lysine,inventory_landscape,Lysine(aq),Lysine(aq),M_730bb12e01ab,0.0,101325.0,0.0008832919993437,1.0,0.02,0.0625,0.0,3.125,0.0,LYS_INV_000016,0.0,,0.0,,False,below_threshold,ok,nan,4.10244073764492e-16,False
lysine,inventory_landscape,Lysine(aq),Lysine(aq),M_730bb12e01ab,0.0,101325.0,0.0008553329971618,1.0,0.02,0.0666666666666666,0.0,3.333333333333333,0.0,LYS_INV_000017,0.0,,0.0,,False,below_threshold,ok,nan,1.63468420803704e-15,False
lysine,inventory_landscape,Lysine(aq),Lysine(aq),M_730bb12e01ab,0.0,101325.0,0.0008617499988758,1.0,0.02,0.0708333333333333,0.0,3.541666666666667,0.0,LYS_INV_000018,0.0,,0.0,,False,below_threshold,ok,nan,4.885320566723376e-15,False
lysine,inventory_landscape,Lysine(aq),Lysine(aq),M_730bb12e01ab,0.0,101325.0,0.00085945900355,1.0,0.02,0.075,0.0,3.75,0.0,LYS_INV_000019,0.0,,0.0,,False,below_threshold,ok,nan,2.0278046111875007e-16,False
lysine,inventory_landscape,Lysine(aq),Lysine(aq),M_730bb12e01ab,0.0,101325.0,0.0009242079977411,1.0,0.02,0.0791666666666666,0.0,3.9583333333333335,0.0,LYS_INV_000020,0.0,,0.0,,False,below_threshold,ok,nan,1.2120706258227639e-15,False
lysine,inventory_landscape,Lysine(aq),Lysine(aq),M_730bb12e01ab,0.0,101325.0,0.000885624991497,1.0,0.02,0.0833333333333333,0.0,4.166666666666667,0.0,LYS_INV_000021,0.0,,0.0,,False,below_threshold,ok,nan,3.0187332995850172e-15,False
lysine,inventory_landscape,Lysine(aq),Lysine(aq),M_730bb12e01ab,0.0,101325.0,0.0008671250106999,1.0,0.02,0.0875,0.0,4.375,0.0,LYS_INV_000022,0.0,,0.0,,False,below_threshold,ok,nan,5.212785307495089e-15,False
lysine,inventory_landscape,Lysine(aq),Lysine(aq),M_730bb12e01ab,0.0,101325.0,0.0008605829934822,1.0,0.02,0.0916666666666666,0.0,4.583333333333334,0.0,LYS_INV_000023,0.0,,0.0,,False,below_threshold,ok,nan,1.5979221943630437e-15,False
