case_id,study_id,substudy_id,target_product,target_variant,model_id,NH3_mol,HCN_mol,C2H2_mol,C2H2_over_HCN,deltaG_offset_kJ_mol,T_C,P_Pa,X_eq,log10_X_eq,n_eq_mol,log10_n_eq_mol,formed_bool,formation_call,solver_status,runtime_seconds
LYS_DG_000001,lysine,deltaG_sweep,Lysine(aq),Lysine__dG_m200(aq),M_27d21f8fc956,0.0,0.02,0.042,2.1,-200.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0049663749960018
LYS_DG_000002,lysine,deltaG_sweep,Lysine(aq),Lysine__dG_m160(aq),M_c8e32c6be7ad,0.0,0.02,0.042,2.1,-160.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0045849579910282
LYS_DG_000003,lysine,deltaG_sweep,Lysine(aq),Lysine__dG_m120(aq),M_7feae772d5cf,0.0,0.02,0.042,2.1,-120.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0045735000021522
LYS_DG_000004,lysine,deltaG_sweep,Lysine(aq),Lysine__dG_m080(aq),M_0ae6e4caf8d4,0.0,0.02,0.042,2.1,-80.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0045256659941514
LYS_DG_000005,lysine,deltaG_sweep,Lysine(aq),Lysine__dG_m040(aq),M_c873ea435fcc,0.0,0.02,0.042,2.1,-40.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0044772920082323
LYS_DG_000006,lysine,deltaG_sweep,Lysine(aq),Lysine__dG_000(aq),M_01e4d0d684eb,0.0,0.02,0.042,2.1,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0049947910010814
LYS_DG_000007,lysine,deltaG_sweep,Lysine(aq),Lysine__dG_p040(aq),M_bff3d5d0aaa9,0.0,0.02,0.042,2.1,40.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0045823749969713
LYS_DG_000008,lysine,deltaG_sweep,Lysine(aq),Lysine__dG_p080(aq),M_f88afb06b490,0.0,0.02,0.042,2.1,80.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0044992080074734
LYS_DG_000009,lysine,deltaG_sweep,Lysine(aq),Lysine__dG_p120(aq),M_3d3519a3d7d0,0.0,0.02,0.042,2.1,120.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0048133330128621
LYS_DG_000010,lysine,deltaG_sweep,Lysine(aq),Lysine__dG_p160(aq),M_aa42e7938809,0.0,0.02,0.042,2.1,160.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0045322920050239
LYS_DG_000011,lysine,deltaG_sweep,Lysine(aq),Lysine__dG_p200(aq),M_99cffa65d1dd,0.0,0.02,0.042,2.1,200.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.004705790997832
LYS_INV_000001,lysine,inventory_landscape,Lysine(aq),Lysine(aq),M_730bb12e01ab,0.0,0.02,0.0,0.0,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.006160875011119
