case_id,study_id,substudy_id,target_product,target_variant,model_id,NH3_mol,HCN_mol,C2H2_mol,C2H2_over_HCN,deltaG_offset_kJ_mol,T_C,P_Pa,X_eq,log10_X_eq,n_eq_mol,log10_n_eq_mol,formed_bool,formation_call,solver_status,runtime_seconds
PHE_DG_000001,phenylalanine,deltaG_sweep,Phenylalanine(aq),Phenylalanine__dG_m200(aq),M_5536af72b50a,0.0,0.02,0.042,2.1,-200.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0045724590017925
PHE_DG_000002,phenylalanine,deltaG_sweep,Phenylalanine(aq),Phenylalanine__dG_m160(aq),M_d45350bf60ed,0.0,0.02,0.042,2.1,-160.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0049346250016242
PHE_DG_000003,phenylalanine,deltaG_sweep,Phenylalanine(aq),Phenylalanine__dG_m120(aq),M_82818de67c5b,0.0,0.02,0.042,2.1,-120.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0046525000070687
PHE_DG_000004,phenylalanine,deltaG_sweep,Phenylalanine(aq),Phenylalanine__dG_m080(aq),M_b4fefb38379a,0.0,0.02,0.042,2.1,-80.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.004513042003964
PHE_DG_000005,phenylalanine,deltaG_sweep,Phenylalanine(aq),Phenylalanine__dG_m040(aq),M_92c74a1cc6b8,0.0,0.02,0.042,2.1,-40.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0052779159886995
PHE_DG_000006,phenylalanine,deltaG_sweep,Phenylalanine(aq),Phenylalanine__dG_000(aq),M_d0affe0b9d72,0.0,0.02,0.042,2.1,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0047789999953238
PHE_DG_000007,phenylalanine,deltaG_sweep,Phenylalanine(aq),Phenylalanine__dG_p040(aq),M_c91a1f87fe88,0.0,0.02,0.042,2.1,40.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0048549999919487
PHE_DG_000008,phenylalanine,deltaG_sweep,Phenylalanine(aq),Phenylalanine__dG_p080(aq),M_250169f49a55,0.0,0.02,0.042,2.1,80.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0045357909984886
PHE_DG_000009,phenylalanine,deltaG_sweep,Phenylalanine(aq),Phenylalanine__dG_p120(aq),M_cdeab8ac49e1,0.0,0.02,0.042,2.1,120.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0045149169891374
PHE_DG_000010,phenylalanine,deltaG_sweep,Phenylalanine(aq),Phenylalanine__dG_p160(aq),M_785085d1f145,0.0,0.02,0.042,2.1,160.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0048282089992426
PHE_DG_000011,phenylalanine,deltaG_sweep,Phenylalanine(aq),Phenylalanine__dG_p200(aq),M_c28df8060be7,0.0,0.02,0.042,2.1,200.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0045646670041605
PHE_INV_000001,phenylalanine,inventory_landscape,Phenylalanine(aq),Phenylalanine(aq),M_7ad335bcbf00,0.0,0.02,0.0,0.0,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0058410829951753
PHE_INV_000002,phenylalanine,inventory_landscape,Phenylalanine(aq),Phenylalanine(aq),M_7ad335bcbf00,0.0,0.02,0.0041666666666666,0.2083333333333333,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0010690420022001
PHE_INV_000003,phenylalanine,inventory_landscape,Phenylalanine(aq),Phenylalanine(aq),M_7ad335bcbf00,0.0,0.02,0.0083333333333333,0.4166666666666667,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0009030840010382
PHE_INV_000004,phenylalanine,inventory_landscape,Phenylalanine(aq),Phenylalanine(aq),M_7ad335bcbf00,0.0,0.02,0.0125,0.625,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0009010840003611
PHE_INV_000005,phenylalanine,inventory_landscape,Phenylalanine(aq),Phenylalanine(aq),M_7ad335bcbf00,0.0,0.02,0.0166666666666666,0.8333333333333334,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0008900840039132
PHE_INV_000006,phenylalanine,inventory_landscape,Phenylalanine(aq),Phenylalanine(aq),M_7ad335bcbf00,0.0,0.02,0.0208333333333333,1.0416666666666667,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0008730000117793
PHE_INV_000007,phenylalanine,inventory_landscape,Phenylalanine(aq),Phenylalanine(aq),M_7ad335bcbf00,0.0,0.02,0.025,1.25,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0008571250073146
PHE_INV_000008,phenylalanine,inventory_landscape,Phenylalanine(aq),Phenylalanine(aq),M_7ad335bcbf00,0.0,0.02,0.0291666666666666,1.4583333333333337,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0008615420083515
PHE_INV_000009,phenylalanine,inventory_landscape,Phenylalanine(aq),Phenylalanine(aq),M_7ad335bcbf00,0.0,0.02,0.0333333333333333,1.6666666666666667,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.001004332996672
PHE_INV_000010,phenylalanine,inventory_landscape,Phenylalanine(aq),Phenylalanine(aq),M_7ad335bcbf00,0.0,0.02,0.0375,1.875,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0008922499982872
PHE_INV_000011,phenylalanine,inventory_landscape,Phenylalanine(aq),Phenylalanine(aq),M_7ad335bcbf00,0.0,0.02,0.0416666666666666,2.083333333333333,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0009135000000242
PHE_INV_000012,phenylalanine,inventory_landscape,Phenylalanine(aq),Phenylalanine(aq),M_7ad335bcbf00,0.0,0.02,0.0458333333333333,2.291666666666667,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0008651670068502
PHE_INV_000013,phenylalanine,inventory_landscape,Phenylalanine(aq),Phenylalanine(aq),M_7ad335bcbf00,0.0,0.02,0.05,2.5,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0008592079975642
PHE_INV_000014,phenylalanine,inventory_landscape,Phenylalanine(aq),Phenylalanine(aq),M_7ad335bcbf00,0.0,0.02,0.0541666666666666,2.708333333333333,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0008677920122863
PHE_INV_000015,phenylalanine,inventory_landscape,Phenylalanine(aq),Phenylalanine(aq),M_7ad335bcbf00,0.0,0.02,0.0583333333333333,2.916666666666667,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.000870957999723
PHE_INV_000016,phenylalanine,inventory_landscape,Phenylalanine(aq),Phenylalanine(aq),M_7ad335bcbf00,0.0,0.02,0.0625,3.125,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0009116659930441
PHE_INV_000017,phenylalanine,inventory_landscape,Phenylalanine(aq),Phenylalanine(aq),M_7ad335bcbf00,0.0,0.02,0.0666666666666666,3.333333333333333,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0008905830036383
PHE_INV_000018,phenylalanine,inventory_landscape,Phenylalanine(aq),Phenylalanine(aq),M_7ad335bcbf00,0.0,0.02,0.0708333333333333,3.541666666666667,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0008531669882358
PHE_INV_000019,phenylalanine,inventory_landscape,Phenylalanine(aq),Phenylalanine(aq),M_7ad335bcbf00,0.0,0.02,0.075,3.75,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0008468339947285
PHE_INV_000020,phenylalanine,inventory_landscape,Phenylalanine(aq),Phenylalanine(aq),M_7ad335bcbf00,0.0,0.02,0.0791666666666666,3.9583333333333335,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0008736250019865
PHE_INV_000021,phenylalanine,inventory_landscape,Phenylalanine(aq),Phenylalanine(aq),M_7ad335bcbf00,0.0,0.02,0.0833333333333333,4.166666666666667,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0008641250024084
PHE_INV_000022,phenylalanine,inventory_landscape,Phenylalanine(aq),Phenylalanine(aq),M_7ad335bcbf00,0.0,0.02,0.0875,4.375,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.00084799999604
PHE_INV_000023,phenylalanine,inventory_landscape,Phenylalanine(aq),Phenylalanine(aq),M_7ad335bcbf00,0.0,0.02,0.0916666666666666,4.583333333333334,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0009360420081065
PHE_INV_000024,phenylalanine,inventory_landscape,Phenylalanine(aq),Phenylalanine(aq),M_7ad335bcbf00,0.0,0.02,0.0958333333333333,4.791666666666667,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0009101670002564
PHE_INV_000025,phenylalanine,inventory_landscape,Phenylalanine(aq),Phenylalanine(aq),M_7ad335bcbf00,0.0,0.02,0.1,5.0,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0008305830124299
