case_id,scenario_id,model_id,yaml_path,target_product,target_variant,T_C,P_Pa,case_hash,status,runtime_seconds,error_message
PHE_INV_000001,PHE_INV_000001,M_7ad335bcbf00,models/M_7ad335bcbf00.yaml,Phenylalanine(aq),Phenylalanine(aq),0.0,101325.0,a7db1ea1aff634ce,ok,0.005841082995175384,
PHE_INV_000002,PHE_INV_000002,M_7ad335bcbf00,models/M_7ad335bcbf00.yaml,Phenylalanine(aq),Phenylalanine(aq),0.0,101325.0,2d964fa8f52fea10,ok,0.001069042002200149,
PHE_INV_000003,PHE_INV_000003,M_7ad335bcbf00,models/M_7ad335bcbf00.yaml,Phenylalanine(aq),Phenylalanine(aq),0.0,101325.0,b6dfee55611fd51b,ok,0.0009030840010382235,
PHE_INV_000004,PHE_INV_000004,M_7ad335bcbf00,models/M_7ad335bcbf00.yaml,Phenylalanine(aq),Phenylalanine(aq),0.0,101325.0,c576c27f04bf0603,ok,0.000901084000361152,
PHE_INV_000005,PHE_INV_000005,M_7ad335bcbf00,models/M_7ad335bcbf00.yaml,Phenylalanine(aq),Phenylalanine(aq),0.0,101325.0,5d61676e9b642e40,ok,0.0008900840039132163,
PHE_INV_000006,PHE_INV_000006,M_7ad335bcbf00,models/M_7ad335bcbf00.yaml,Phenylalanine(aq),Phenylalanine(aq),0.0,101325.0,023e552669f13abd,ok,0.0008730000117793679,
PHE_INV_000007,PHE_INV_000007,M_7ad335bcbf00,models/M_7ad335bcbf00.yaml,Phenylalanine(aq),Phenylalanine(aq),0.0,101325.0,414c8aea4f81749a,ok,0.0008571250073146075,
PHE_INV_000008,PHE_INV_000008,M_7ad335bcbf00,models/M_7ad335bcbf00.yaml,Phenylalanine(aq),Phenylalanine(aq),0.0,101325.0,dad5b133a52040ed,ok,0.0008615420083515346,
PHE_INV_000009,PHE_INV_000009,M_7ad335bcbf00,models/M_7ad335bcbf00.yaml,Phenylalanine(aq),Phenylalanine(aq),0.0,101325.0,592eae7d3c503766,ok,0.0010043329966720194,
PHE_INV_000010,PHE_INV_000010,M_7ad335bcbf00,models/M_7ad335bcbf00.yaml,Phenylalanine(aq),Phenylalanine(aq),0.0,101325.0,2dc137fc9e0a47b2,ok,0.0008922499982872978,
