scenario,model_mode,yaml_file,target_product,T_C,T_K,P_Pa,species,X_initial,X_eq,initial_moles,solver_status,error_message,case_id,model_id,target_variant,runtime_seconds,study_id,substudy_id,H2O_mol,HCN_mol,C2H2_mol,NH3_mol,C2H2_over_HCN,deltaG_offset_kJ_mol
PRO_INV_000001,single_product_sensitivity,M_af61d52f110a.yaml,Proline(aq),0.0,273.15,101325.0,H2O(l),0.9803921568627451,0.9803921568627452,1.0,ok,,PRO_INV_000001,M_af61d52f110a,Proline(aq),0.006039666011929512,proline,inventory_landscape,1.0,0.02,0.0,0.0,0.0,0.0
PRO_INV_000001,single_product_sensitivity,M_af61d52f110a.yaml,Proline(aq),0.0,273.15,101325.0,HCN(aq),0.0196078431372549,0.0196078431372549,0.02,ok,,PRO_INV_000001,M_af61d52f110a,Proline(aq),0.006039666011929512,proline,inventory_landscape,1.0,0.02,0.0,0.0,0.0,0.0
PRO_INV_000001,single_product_sensitivity,M_af61d52f110a.yaml,Proline(aq),0.0,273.15,101325.0,C2H2(aq),0.0,0.0,0.0,ok,,PRO_INV_000001,M_af61d52f110a,Proline(aq),0.006039666011929512,proline,inventory_landscape,1.0,0.02,0.0,0.0,0.0,0.0
PRO_INV_000001,single_product_sensitivity,M_af61d52f110a.yaml,Proline(aq),0.0,273.15,101325.0,Proline(aq),0.0,0.0,0.0,ok,,PRO_INV_000001,M_af61d52f110a,Proline(aq),0.006039666011929512,proline,inventory_landscape,1.0,0.02,0.0,0.0,0.0,0.0
PRO_INV_000002,single_product_sensitivity,M_af61d52f110a.yaml,Proline(aq),0.0,273.15,101325.0,H2O(l),0.9764035801464606,0.9803117309269894,1.0,ok,,PRO_INV_000002,M_af61d52f110a,Proline(aq),0.001018750001094304,proline,inventory_landscape,1.0,0.02,0.004166666666666667,0.0,0.20833333333333334,0.0
PRO_INV_000002,single_product_sensitivity,M_af61d52f110a.yaml,Proline(aq),0.0,273.15,101325.0,HCN(aq),0.01952807160292921,0.017637407711238725,0.02,ok,,PRO_INV_000002,M_af61d52f110a,Proline(aq),0.001018750001094304,proline,inventory_landscape,1.0,0.02,0.004166666666666667,0.0,0.20833333333333334,0.0
PRO_INV_000002,single_product_sensitivity,M_af61d52f110a.yaml,Proline(aq),0.0,273.15,101325.0,C2H2(aq),0.0040683482506102524,7.010621435925998e-39,0.004166666666666667,ok,,PRO_INV_000002,M_af61d52f110a,Proline(aq),0.001018750001094304,proline,inventory_landscape,1.0,0.02,0.004166666666666667,0.0,0.20833333333333334,0.0
PRO_INV_000002,single_product_sensitivity,M_af61d52f110a.yaml,Proline(aq),0.0,273.15,101325.0,Proline(aq),0.0,0.0020508613617719446,0.0,ok,,PRO_INV_000002,M_af61d52f110a,Proline(aq),0.001018750001094304,proline,inventory_landscape,1.0,0.02,0.004166666666666667,0.0,0.20833333333333334,0.0
PRO_INV_000003,single_product_sensitivity,M_af61d52f110a.yaml,Proline(aq),0.0,273.15,101325.0,H2O(l),0.9724473257698542,0.9802306425041185,1.0,ok,,PRO_INV_000003,M_af61d52f110a,Proline(aq),0.0009635829919716343,proline,inventory_landscape,1.0,0.02,0.008333333333333333,0.0,0.4166666666666667,0.0
PRO_INV_000003,single_product_sensitivity,M_af61d52f110a.yaml,Proline(aq),0.0,273.15,101325.0,HCN(aq),0.019448946515397084,0.015650741350906095,0.02,ok,,PRO_INV_000003,M_af61d52f110a,Proline(aq),0.0009635829919716343,proline,inventory_landscape,1.0,0.02,0.008333333333333333,0.0,0.4166666666666667,0.0
PRO_INV_000003,single_product_sensitivity,M_af61d52f110a.yaml,Proline(aq),0.0,273.15,101325.0,C2H2(aq),0.008103727714748784,1.0547508128758992e-38,0.008333333333333333,ok,,PRO_INV_000003,M_af61d52f110a,Proline(aq),0.0009635829919716343,proline,inventory_landscape,1.0,0.02,0.008333333333333333,0.0,0.4166666666666667,0.0
PRO_INV_000003,single_product_sensitivity,M_af61d52f110a.yaml,Proline(aq),0.0,273.15,101325.0,Proline(aq),0.0,0.004118616144975289,0.0,ok,,PRO_INV_000003,M_af61d52f110a,Proline(aq),0.0009635829919716343,proline,inventory_landscape,1.0,0.02,0.008333333333333333,0.0,0.4166666666666667,0.0
PRO_INV_000004,single_product_sensitivity,M_af61d52f110a.yaml,Proline(aq),0.0,273.15,101325.0,H2O(l),0.9685230024213075,0.9801488833746899,1.0,ok,,PRO_INV_000004,M_af61d52f110a,Proline(aq),0.0008936670055845752,proline,inventory_landscape,1.0,0.02,0.0125,0.0,0.625,0.0
PRO_INV_000004,single_product_sensitivity,M_af61d52f110a.yaml,Proline(aq),0.0,273.15,101325.0,HCN(aq),0.01937046004842615,0.013647642679900748,0.02,ok,,PRO_INV_000004,M_af61d52f110a,Proline(aq),0.0008936670055845752,proline,inventory_landscape,1.0,0.02,0.0125,0.0,0.625,0.0
PRO_INV_000004,single_product_sensitivity,M_af61d52f110a.yaml,Proline(aq),0.0,273.15,101325.0,C2H2(aq),0.012106537530266345,1.3863297778452213e-38,0.0125,ok,,PRO_INV_000004,M_af61d52f110a,Proline(aq),0.0008936670055845752,proline,inventory_landscape,1.0,0.02,0.0125,0.0,0.625,0.0
PRO_INV_000004,single_product_sensitivity,M_af61d52f110a.yaml,Proline(aq),0.0,273.15,101325.0,Proline(aq),0.0,0.00620347394540943,0.0,ok,,PRO_INV_000004,M_af61d52f110a,Proline(aq),0.0008936670055845752,proline,inventory_landscape,1.0,0.02,0.0125,0.0,0.625,0.0
PRO_INV_000005,single_product_sensitivity,M_af61d52f110a.yaml,Proline(aq),0.0,273.15,101325.0,H2O(l),0.9646302250803859,0.9800664451827243,1.0,ok,,PRO_INV_000005,M_af61d52f110a,Proline(aq),0.0008836670021992177,proline,inventory_landscape,1.0,0.02,0.016666666666666666,0.0,0.8333333333333334,0.0
PRO_INV_000005,single_product_sensitivity,M_af61d52f110a.yaml,Proline(aq),0.0,273.15,101325.0,HCN(aq),0.01929260450160772,0.011627906976744188,0.02,ok,,PRO_INV_000005,M_af61d52f110a,Proline(aq),0.0008836670021992177,proline,inventory_landscape,1.0,0.02,0.016666666666666666,0.0,0.8333333333333334,0.0
PRO_INV_000005,single_product_sensitivity,M_af61d52f110a.yaml,Proline(aq),0.0,273.15,101325.0,C2H2(aq),0.01607717041800643,1.738002526724868e-38,0.016666666666666666,ok,,PRO_INV_000005,M_af61d52f110a,Proline(aq),0.0008836670021992177,proline,inventory_landscape,1.0,0.02,0.016666666666666666,0.0,0.8333333333333334,0.0
PRO_INV_000005,single_product_sensitivity,M_af61d52f110a.yaml,Proline(aq),0.0,273.15,101325.0,Proline(aq),0.0,0.00830564784053156,0.0,ok,,PRO_INV_000005,M_af61d52f110a,Proline(aq),0.0008836670021992177,proline,inventory_landscape,1.0,0.02,0.016666666666666666,0.0,0.8333333333333334,0.0
PRO_INV_000006,single_product_sensitivity,M_af61d52f110a.yaml,Proline(aq),0.0,273.15,101325.0,H2O(l),0.9607686148919136,0.9799833194328607,1.0,ok,,PRO_INV_000006,M_af61d52f110a,Proline(aq),0.0008869160083122551,proline,inventory_landscape,1.0,0.02,0.020833333333333336,0.0,1.0416666666666667,0.0
PRO_INV_000006,single_product_sensitivity,M_af61d52f110a.yaml,Proline(aq),0.0,273.15,101325.0,HCN(aq),0.019215372297838273,0.009591326105087575,0.02,ok,,PRO_INV_000006,M_af61d52f110a,Proline(aq),0.0008869160083122551,proline,inventory_landscape,1.0,0.02,0.020833333333333336,0.0,1.0416666666666667,0.0
PRO_INV_000006,single_product_sensitivity,M_af61d52f110a.yaml,Proline(aq),0.0,273.15,101325.0,C2H2(aq),0.0200160128102482,2.144160763716634e-38,0.020833333333333336,ok,,PRO_INV_000006,M_af61d52f110a,Proline(aq),0.0008869160083122551,proline,inventory_landscape,1.0,0.02,0.020833333333333336,0.0,1.0416666666666667,0.0
PRO_INV_000006,single_product_sensitivity,M_af61d52f110a.yaml,Proline(aq),0.0,273.15,101325.0,Proline(aq),0.0,0.010425354462051709,0.0,ok,,PRO_INV_000006,M_af61d52f110a,Proline(aq),0.0008869160083122551,proline,inventory_landscape,1.0,0.02,0.020833333333333336,0.0,1.0416666666666667,0.0
PRO_INV_000007,single_product_sensitivity,M_af61d52f110a.yaml,Proline(aq),0.0,273.15,101325.0,H2O(l),0.9569377990430623,0.9798994974874372,1.0,ok,,PRO_INV_000007,M_af61d52f110a,Proline(aq),0.0010994170006597415,proline,inventory_landscape,1.0,0.02,0.025,0.0,1.25,0.0
PRO_INV_000007,single_product_sensitivity,M_af61d52f110a.yaml,Proline(aq),0.0,273.15,101325.0,HCN(aq),0.019138755980861247,0.007537688442211056,0.02,ok,,PRO_INV_000007,M_af61d52f110a,Proline(aq),0.0010994170006597415,proline,inventory_landscape,1.0,0.02,0.025,0.0,1.25,0.0
PRO_INV_000007,single_product_sensitivity,M_af61d52f110a.yaml,Proline(aq),0.0,273.15,101325.0,C2H2(aq),0.02392344497607656,2.65529502380904e-38,0.025,ok,,PRO_INV_000007,M_af61d52f110a,Proline(aq),0.0010994170006597415,proline,inventory_landscape,1.0,0.02,0.025,0.0,1.25,0.0
PRO_INV_000007,single_product_sensitivity,M_af61d52f110a.yaml,Proline(aq),0.0,273.15,101325.0,Proline(aq),0.0,0.012562814070351761,0.0,ok,,PRO_INV_000007,M_af61d52f110a,Proline(aq),0.0010994170006597415,proline,inventory_landscape,1.0,0.02,0.025,0.0,1.25,0.0
PRO_INV_000008,single_product_sensitivity,M_af61d52f110a.yaml,Proline(aq),0.0,273.15,101325.0,H2O(l),0.9531374106433679,0.9798149705634986,1.0,ok,,PRO_INV_000008,M_af61d52f110a,Proline(aq),0.0009255420009139925,proline,inventory_landscape,1.0,0.02,0.02916666666666667,0.0,1.4583333333333335,0.0
