case_id,scenario_id,model_id,yaml_path,target_product,target_variant,T_C,P_Pa,case_hash,status,runtime_seconds,error_message
THR_INV_000001,THR_INV_000001,M_2f9766376563,models/M_2f9766376563.yaml,Threonine(aq),Threonine(aq),0.0,101325.0,a63bc77759c81722,ok,0.005226042005233467,
THR_INV_000002,THR_INV_000002,M_2f9766376563,models/M_2f9766376563.yaml,Threonine(aq),Threonine(aq),0.0,101325.0,a7db48bf91248374,ok,0.0009959580056602135,
THR_INV_000003,THR_INV_000003,M_2f9766376563,models/M_2f9766376563.yaml,Threonine(aq),Threonine(aq),0.0,101325.0,2ac241bb666bf307,ok,0.0008971659990493208,
THR_INV_000004,THR_INV_000004,M_2f9766376563,models/M_2f9766376563.yaml,Threonine(aq),Threonine(aq),0.0,101325.0,4ad87799672c977b,ok,0.000883166998391971,
THR_INV_000005,THR_INV_000005,M_2f9766376563,models/M_2f9766376563.yaml,Threonine(aq),Threonine(aq),0.0,101325.0,01cb09f7f0a2aabe,ok,0.0012812920031137764,
THR_INV_000006,THR_INV_000006,M_2f9766376563,models/M_2f9766376563.yaml,Threonine(aq),Threonine(aq),0.0,101325.0,8688750524185972,ok,0.0009605829982319847,
THR_INV_000007,THR_INV_000007,M_2f9766376563,models/M_2f9766376563.yaml,Threonine(aq),Threonine(aq),0.0,101325.0,2c0f854407ff8196,ok,0.0008906250004656613,
THR_INV_000008,THR_INV_000008,M_2f9766376563,models/M_2f9766376563.yaml,Threonine(aq),Threonine(aq),0.0,101325.0,af1c46a239c1de21,ok,0.0008828749996609986,
THR_INV_000009,THR_INV_000009,M_2f9766376563,models/M_2f9766376563.yaml,Threonine(aq),Threonine(aq),0.0,101325.0,c57b4e02ac8463aa,ok,0.0008907080045901239,
THR_INV_000010,THR_INV_000010,M_2f9766376563,models/M_2f9766376563.yaml,Threonine(aq),Threonine(aq),0.0,101325.0,6787b77ad396cadc,ok,0.0008564169984310865,
THR_INV_000011,THR_INV_000011,M_2f9766376563,models/M_2f9766376563.yaml,Threonine(aq),Threonine(aq),0.0,101325.0,d02b230278740d64,ok,0.0008717500022612512,
THR_INV_000012,THR_INV_000012,M_2f9766376563,models/M_2f9766376563.yaml,Threonine(aq),Threonine(aq),0.0,101325.0,3b9c82a591cae8f6,ok,0.0011159160058014095,
THR_INV_000013,THR_INV_000013,M_2f9766376563,models/M_2f9766376563.yaml,Threonine(aq),Threonine(aq),0.0,101325.0,6e6a2ab3fb883d9b,ok,0.0008695419965079054,
THR_INV_000014,THR_INV_000014,M_2f9766376563,models/M_2f9766376563.yaml,Threonine(aq),Threonine(aq),0.0,101325.0,74c26dd3f1621f0d,ok,0.0008502499986207113,
THR_INV_000015,THR_INV_000015,M_2f9766376563,models/M_2f9766376563.yaml,Threonine(aq),Threonine(aq),0.0,101325.0,5acb60a382ee21d7,ok,0.0008557499968446791,
THR_INV_000016,THR_INV_000016,M_2f9766376563,models/M_2f9766376563.yaml,Threonine(aq),Threonine(aq),0.0,101325.0,6dbce4f50c120f00,ok,0.0008532499923603609,
THR_INV_000017,THR_INV_000017,M_2f9766376563,models/M_2f9766376563.yaml,Threonine(aq),Threonine(aq),0.0,101325.0,bc6f8fa631389fdf,ok,0.0008386659901589155,
THR_INV_000018,THR_INV_000018,M_2f9766376563,models/M_2f9766376563.yaml,Threonine(aq),Threonine(aq),0.0,101325.0,f1f915a08a1f1e55,ok,0.0008388749993173406,
THR_INV_000019,THR_INV_000019,M_2f9766376563,models/M_2f9766376563.yaml,Threonine(aq),Threonine(aq),0.0,101325.0,c8d41860bb566f15,ok,0.0008392919990001246,
THR_INV_000020,THR_INV_000020,M_2f9766376563,models/M_2f9766376563.yaml,Threonine(aq),Threonine(aq),0.0,101325.0,01fe8f35f91d3612,ok,0.0010632080084178597,
THR_INV_000021,THR_INV_000021,M_2f9766376563,models/M_2f9766376563.yaml,Threonine(aq),Threonine(aq),0.0,101325.0,5c2ce565929e3854,ok,0.0009218749910360202,
THR_INV_000022,THR_INV_000022,M_2f9766376563,models/M_2f9766376563.yaml,Threonine(aq),Threonine(aq),0.0,101325.0,bb725e6838eb37c2,ok,0.0008889160089893267,
THR_INV_000023,THR_INV_000023,M_2f9766376563,models/M_2f9766376563.yaml,Threonine(aq),Threonine(aq),0.0,101325.0,1441fd02b3f0cfb6,ok,0.0008529170008841902,
THR_INV_000024,THR_INV_000024,M_2f9766376563,models/M_2f9766376563.yaml,Threonine(aq),Threonine(aq),0.0,101325.0,03cb3109c0ca7c41,ok,0.0008350419957423583,
THR_INV_000025,THR_INV_000025,M_2f9766376563,models/M_2f9766376563.yaml,Threonine(aq),Threonine(aq),0.0,101325.0,aab4796775975498,ok,0.000853999998071231,
THR_DG_000001,THR_DG_000001,M_94aecd2438b9,models/M_94aecd2438b9.yaml,Threonine(aq),Threonine__dG_m200(aq),0.0,101325.0,bf162d1be2924092,ok,0.005248916000709869,
THR_DG_000002,THR_DG_000002,M_8fb51f4c70bb,models/M_8fb51f4c70bb.yaml,Threonine(aq),Threonine__dG_m160(aq),0.0,101325.0,58dbb7d5b74d9333,ok,0.004616499994881451,
THR_DG_000003,THR_DG_000003,M_25af2a4f8037,models/M_25af2a4f8037.yaml,Threonine(aq),Threonine__dG_m120(aq),0.0,101325.0,e5ac805d6d4d3fa9,ok,0.004713124988484196,
THR_DG_000004,THR_DG_000004,M_9c0882dbf10d,models/M_9c0882dbf10d.yaml,Threonine(aq),Threonine__dG_m080(aq),0.0,101325.0,2b953266535ca8a5,ok,0.0044770830136258155,
THR_DG_000005,THR_DG_000005,M_3e1eef217b08,models/M_3e1eef217b08.yaml,Threonine(aq),Threonine__dG_m040(aq),0.0,101325.0,3882de52a49bea1b,ok,0.004533625004114583,
THR_DG_000006,THR_DG_000006,M_2b9981fcb4d2,models/M_2b9981fcb4d2.yaml,Threonine(aq),Threonine__dG_000(aq),0.0,101325.0,8895eb195c4f98d7,ok,0.00501487500150688,
THR_DG_000007,THR_DG_000007,M_0e7d4508245f,models/M_0e7d4508245f.yaml,Threonine(aq),Threonine__dG_p040(aq),0.0,101325.0,12c48e9da5648b28,ok,0.004555916995741427,
THR_DG_000008,THR_DG_000008,M_e0ccaf07d54d,models/M_e0ccaf07d54d.yaml,Threonine(aq),Threonine__dG_p080(aq),0.0,101325.0,097ff32a02aa918f,ok,0.004521374998148531,
THR_DG_000009,THR_DG_000009,M_9dd79293b418,models/M_9dd79293b418.yaml,Threonine(aq),Threonine__dG_p120(aq),0.0,101325.0,57b7a286cd34252c,ok,0.004967417000443675,
THR_DG_000010,THR_DG_000010,M_bb3bfc4e9f01,models/M_bb3bfc4e9f01.yaml,Threonine(aq),Threonine__dG_p160(aq),0.0,101325.0,0c859bc209b86c32,ok,0.004593334000674076,
THR_DG_000011,THR_DG_000011,M_2923a1d93922,models/M_2923a1d93922.yaml,Threonine(aq),Threonine__dG_p200(aq),0.0,101325.0,13b4974872c5d024,ok,0.004936958008329384,
