case_id,study_id,substudy_id,target_product,target_variant,H2O_mol,HCN_mol,C2H2_mol,NH3_mol,C2H2_over_HCN,deltaG_offset_kJ_mol,T_C,P_Pa,scenario_id,model_id,case_hash
TRY_INV_000001,tryptophan,inventory_landscape,Tryptophan(aq),Tryptophan(aq),1.0,0.02,0.0,0.0,0.0,0.0,0.0,101325.0,TRY_INV_000001,M_4c83a72d8783,530b88487cc7ce49
TRY_INV_000002,tryptophan,inventory_landscape,Tryptophan(aq),Tryptophan(aq),1.0,0.02,0.004166666666666667,0.0,0.20833333333333334,0.0,0.0,101325.0,TRY_INV_000002,M_4c83a72d8783,141fdee27f6b539f
TRY_INV_000003,tryptophan,inventory_landscape,Tryptophan(aq),Tryptophan(aq),1.0,0.02,0.008333333333333333,0.0,0.4166666666666667,0.0,0.0,101325.0,TRY_INV_000003,M_4c83a72d8783,35de435b9ac7ce3d
TRY_INV_000004,tryptophan,inventory_landscape,Tryptophan(aq),Tryptophan(aq),1.0,0.02,0.0125,0.0,0.625,0.0,0.0,101325.0,TRY_INV_000004,M_4c83a72d8783,79da38e2e951c619
TRY_INV_000005,tryptophan,inventory_landscape,Tryptophan(aq),Tryptophan(aq),1.0,0.02,0.016666666666666666,0.0,0.8333333333333334,0.0,0.0,101325.0,TRY_INV_000005,M_4c83a72d8783,67a723e4ea71298c
TRY_INV_000006,tryptophan,inventory_landscape,Tryptophan(aq),Tryptophan(aq),1.0,0.02,0.020833333333333336,0.0,1.0416666666666667,0.0,0.0,101325.0,TRY_INV_000006,M_4c83a72d8783,6df6ad4e40fe8af2
TRY_INV_000007,tryptophan,inventory_landscape,Tryptophan(aq),Tryptophan(aq),1.0,0.02,0.025,0.0,1.25,0.0,0.0,101325.0,TRY_INV_000007,M_4c83a72d8783,18da79698347b3bb
TRY_INV_000008,tryptophan,inventory_landscape,Tryptophan(aq),Tryptophan(aq),1.0,0.02,0.02916666666666667,0.0,1.4583333333333335,0.0,0.0,101325.0,TRY_INV_000008,M_4c83a72d8783,9ffb507b387eafa1
TRY_INV_000009,tryptophan,inventory_landscape,Tryptophan(aq),Tryptophan(aq),1.0,0.02,0.03333333333333333,0.0,1.6666666666666667,0.0,0.0,101325.0,TRY_INV_000009,M_4c83a72d8783,678071a46d5f56ee
TRY_INV_000010,tryptophan,inventory_landscape,Tryptophan(aq),Tryptophan(aq),1.0,0.02,0.0375,0.0,1.875,0.0,0.0,101325.0,TRY_INV_000010,M_4c83a72d8783,168334c49f6e6963
TRY_INV_000011,tryptophan,inventory_landscape,Tryptophan(aq),Tryptophan(aq),1.0,0.02,0.04166666666666667,0.0,2.0833333333333335,0.0,0.0,101325.0,TRY_INV_000011,M_4c83a72d8783,8b511525dabe3057
TRY_INV_000012,tryptophan,inventory_landscape,Tryptophan(aq),Tryptophan(aq),1.0,0.02,0.04583333333333334,0.0,2.291666666666667,0.0,0.0,101325.0,TRY_INV_000012,M_4c83a72d8783,75fbab736f847078
TRY_INV_000013,tryptophan,inventory_landscape,Tryptophan(aq),Tryptophan(aq),1.0,0.02,0.05,0.0,2.5,0.0,0.0,101325.0,TRY_INV_000013,M_4c83a72d8783,e52bf394635ecf2d
TRY_INV_000014,tryptophan,inventory_landscape,Tryptophan(aq),Tryptophan(aq),1.0,0.02,0.05416666666666667,0.0,2.7083333333333335,0.0,0.0,101325.0,TRY_INV_000014,M_4c83a72d8783,116c75d4b698d519
TRY_INV_000015,tryptophan,inventory_landscape,Tryptophan(aq),Tryptophan(aq),1.0,0.02,0.05833333333333334,0.0,2.916666666666667,0.0,0.0,101325.0,TRY_INV_000015,M_4c83a72d8783,f35412d995085e28
TRY_INV_000016,tryptophan,inventory_landscape,Tryptophan(aq),Tryptophan(aq),1.0,0.02,0.0625,0.0,3.125,0.0,0.0,101325.0,TRY_INV_000016,M_4c83a72d8783,d685987057990c80
TRY_INV_000017,tryptophan,inventory_landscape,Tryptophan(aq),Tryptophan(aq),1.0,0.02,0.06666666666666667,0.0,3.3333333333333335,0.0,0.0,101325.0,TRY_INV_000017,M_4c83a72d8783,6e00a01f4f8fda13
TRY_INV_000018,tryptophan,inventory_landscape,Tryptophan(aq),Tryptophan(aq),1.0,0.02,0.07083333333333335,0.0,3.541666666666667,0.0,0.0,101325.0,TRY_INV_000018,M_4c83a72d8783,1513153069553a25
TRY_INV_000019,tryptophan,inventory_landscape,Tryptophan(aq),Tryptophan(aq),1.0,0.02,0.075,0.0,3.75,0.0,0.0,101325.0,TRY_INV_000019,M_4c83a72d8783,6064ff6669899080
TRY_INV_000020,tryptophan,inventory_landscape,Tryptophan(aq),Tryptophan(aq),1.0,0.02,0.07916666666666668,0.0,3.9583333333333335,0.0,0.0,101325.0,TRY_INV_000020,M_4c83a72d8783,1eb2517ff29078ca
TRY_INV_000021,tryptophan,inventory_landscape,Tryptophan(aq),Tryptophan(aq),1.0,0.02,0.08333333333333334,0.0,4.166666666666667,0.0,0.0,101325.0,TRY_INV_000021,M_4c83a72d8783,88bd0f7e32bf5488
TRY_INV_000022,tryptophan,inventory_landscape,Tryptophan(aq),Tryptophan(aq),1.0,0.02,0.08750000000000001,0.0,4.375,0.0,0.0,101325.0,TRY_INV_000022,M_4c83a72d8783,dfa36e8c8cd1073a
TRY_INV_000023,tryptophan,inventory_landscape,Tryptophan(aq),Tryptophan(aq),1.0,0.02,0.09166666666666667,0.0,4.583333333333334,0.0,0.0,101325.0,TRY_INV_000023,M_4c83a72d8783,4a89654893632418
TRY_INV_000024,tryptophan,inventory_landscape,Tryptophan(aq),Tryptophan(aq),1.0,0.02,0.09583333333333334,0.0,4.791666666666667,0.0,0.0,101325.0,TRY_INV_000024,M_4c83a72d8783,38d4e084791a2ecb
TRY_INV_000025,tryptophan,inventory_landscape,Tryptophan(aq),Tryptophan(aq),1.0,0.02,0.1,0.0,5.0,0.0,0.0,101325.0,TRY_INV_000025,M_4c83a72d8783,6ee0e2cc83ef0530
