case_id,scenario_id,model_id,yaml_path,target_product,target_variant,T_C,P_Pa,case_hash,status,runtime_seconds,error_message
TRY_INV_000001,TRY_INV_000001,M_4c83a72d8783,models/M_4c83a72d8783.yaml,Tryptophan(aq),Tryptophan(aq),0.0,101325.0,530b88487cc7ce49,ok,0.005989792000036687,
TRY_INV_000002,TRY_INV_000002,M_4c83a72d8783,models/M_4c83a72d8783.yaml,Tryptophan(aq),Tryptophan(aq),0.0,101325.0,141fdee27f6b539f,ok,0.001086707998183556,
TRY_INV_000003,TRY_INV_000003,M_4c83a72d8783,models/M_4c83a72d8783.yaml,Tryptophan(aq),Tryptophan(aq),0.0,101325.0,35de435b9ac7ce3d,ok,0.0009769589960342273,
TRY_INV_000004,TRY_INV_000004,M_4c83a72d8783,models/M_4c83a72d8783.yaml,Tryptophan(aq),Tryptophan(aq),0.0,101325.0,79da38e2e951c619,ok,0.0009211249998770654,
TRY_INV_000005,TRY_INV_000005,M_4c83a72d8783,models/M_4c83a72d8783.yaml,Tryptophan(aq),Tryptophan(aq),0.0,101325.0,67a723e4ea71298c,ok,0.0012483339960454032,
TRY_INV_000006,TRY_INV_000006,M_4c83a72d8783,models/M_4c83a72d8783.yaml,Tryptophan(aq),Tryptophan(aq),0.0,101325.0,6df6ad4e40fe8af2,ok,0.0010124169930350035,
TRY_INV_000007,TRY_INV_000007,M_4c83a72d8783,models/M_4c83a72d8783.yaml,Tryptophan(aq),Tryptophan(aq),0.0,101325.0,18da79698347b3bb,ok,0.0011346250103088096,
TRY_INV_000008,TRY_INV_000008,M_4c83a72d8783,models/M_4c83a72d8783.yaml,Tryptophan(aq),Tryptophan(aq),0.0,101325.0,9ffb507b387eafa1,ok,0.0009308330045314506,
TRY_INV_000009,TRY_INV_000009,M_4c83a72d8783,models/M_4c83a72d8783.yaml,Tryptophan(aq),Tryptophan(aq),0.0,101325.0,678071a46d5f56ee,ok,0.0009037499985424802,
TRY_INV_000010,TRY_INV_000010,M_4c83a72d8783,models/M_4c83a72d8783.yaml,Tryptophan(aq),Tryptophan(aq),0.0,101325.0,168334c49f6e6963,ok,0.0008946669986471534,
TRY_INV_000011,TRY_INV_000011,M_4c83a72d8783,models/M_4c83a72d8783.yaml,Tryptophan(aq),Tryptophan(aq),0.0,101325.0,8b511525dabe3057,ok,0.0008721250051166862,
TRY_INV_000012,TRY_INV_000012,M_4c83a72d8783,models/M_4c83a72d8783.yaml,Tryptophan(aq),Tryptophan(aq),0.0,101325.0,75fbab736f847078,ok,0.000866333008161746,
TRY_INV_000013,TRY_INV_000013,M_4c83a72d8783,models/M_4c83a72d8783.yaml,Tryptophan(aq),Tryptophan(aq),0.0,101325.0,e52bf394635ecf2d,ok,0.0008558330009691417,
TRY_INV_000014,TRY_INV_000014,M_4c83a72d8783,models/M_4c83a72d8783.yaml,Tryptophan(aq),Tryptophan(aq),0.0,101325.0,116c75d4b698d519,ok,0.001073999999789521,
TRY_INV_000015,TRY_INV_000015,M_4c83a72d8783,models/M_4c83a72d8783.yaml,Tryptophan(aq),Tryptophan(aq),0.0,101325.0,f35412d995085e28,ok,0.0008587089978391305,
TRY_INV_000016,TRY_INV_000016,M_4c83a72d8783,models/M_4c83a72d8783.yaml,Tryptophan(aq),Tryptophan(aq),0.0,101325.0,d685987057990c80,ok,0.0008530000050086528,
TRY_INV_000017,TRY_INV_000017,M_4c83a72d8783,models/M_4c83a72d8783.yaml,Tryptophan(aq),Tryptophan(aq),0.0,101325.0,6e00a01f4f8fda13,ok,0.000883709013578482,
TRY_INV_000018,TRY_INV_000018,M_4c83a72d8783,models/M_4c83a72d8783.yaml,Tryptophan(aq),Tryptophan(aq),0.0,101325.0,1513153069553a25,ok,0.0008489169995300472,
TRY_INV_000019,TRY_INV_000019,M_4c83a72d8783,models/M_4c83a72d8783.yaml,Tryptophan(aq),Tryptophan(aq),0.0,101325.0,6064ff6669899080,ok,0.000851125005283393,
TRY_INV_000020,TRY_INV_000020,M_4c83a72d8783,models/M_4c83a72d8783.yaml,Tryptophan(aq),Tryptophan(aq),0.0,101325.0,1eb2517ff29078ca,ok,0.0008720420009922236,
TRY_INV_000021,TRY_INV_000021,M_4c83a72d8783,models/M_4c83a72d8783.yaml,Tryptophan(aq),Tryptophan(aq),0.0,101325.0,88bd0f7e32bf5488,ok,0.0008511249907314777,
TRY_INV_000022,TRY_INV_000022,M_4c83a72d8783,models/M_4c83a72d8783.yaml,Tryptophan(aq),Tryptophan(aq),0.0,101325.0,dfa36e8c8cd1073a,ok,0.001163082997663878,
TRY_INV_000023,TRY_INV_000023,M_4c83a72d8783,models/M_4c83a72d8783.yaml,Tryptophan(aq),Tryptophan(aq),0.0,101325.0,4a89654893632418,ok,0.0009295829950133339,
TRY_INV_000024,TRY_INV_000024,M_4c83a72d8783,models/M_4c83a72d8783.yaml,Tryptophan(aq),Tryptophan(aq),0.0,101325.0,38d4e084791a2ecb,ok,0.0008897500083548948,
TRY_INV_000025,TRY_INV_000025,M_4c83a72d8783,models/M_4c83a72d8783.yaml,Tryptophan(aq),Tryptophan(aq),0.0,101325.0,6ee0e2cc83ef0530,ok,0.0008572499937145039,
TRY_DG_000001,TRY_DG_000001,M_c23ad6ba9760,models/M_c23ad6ba9760.yaml,Tryptophan(aq),Tryptophan__dG_m200(aq),0.0,101325.0,220dd110c1c11d88,ok,0.004586625000229105,
TRY_DG_000002,TRY_DG_000002,M_95bf39609032,models/M_95bf39609032.yaml,Tryptophan(aq),Tryptophan__dG_m160(aq),0.0,101325.0,d13e5380d8fc19bb,ok,0.004520541988313198,
TRY_DG_000003,TRY_DG_000003,M_840bce44ea9e,models/M_840bce44ea9e.yaml,Tryptophan(aq),Tryptophan__dG_m120(aq),0.0,101325.0,2716692a560f4bd9,ok,0.004498665992286988,
TRY_DG_000004,TRY_DG_000004,M_962ab3fffa4f,models/M_962ab3fffa4f.yaml,Tryptophan(aq),Tryptophan__dG_m080(aq),0.0,101325.0,36e1ea116126ef39,ok,0.004818166999029927,
TRY_DG_000005,TRY_DG_000005,M_3d153095db2f,models/M_3d153095db2f.yaml,Tryptophan(aq),Tryptophan__dG_m040(aq),0.0,101325.0,76a3dde78cb4d911,ok,0.004572042002109811,
TRY_DG_000006,TRY_DG_000006,M_b2358965eaa2,models/M_b2358965eaa2.yaml,Tryptophan(aq),Tryptophan__dG_000(aq),0.0,101325.0,6411e68551572261,ok,0.0045565409964183345,
TRY_DG_000007,TRY_DG_000007,M_770bf431ab81,models/M_770bf431ab81.yaml,Tryptophan(aq),Tryptophan__dG_p040(aq),0.0,101325.0,016064520c7c2579,ok,0.004855000006500632,
TRY_DG_000008,TRY_DG_000008,M_20ec47f0dead,models/M_20ec47f0dead.yaml,Tryptophan(aq),Tryptophan__dG_p080(aq),0.0,101325.0,e39236ff80481c30,ok,0.004542374997981824,
TRY_DG_000009,TRY_DG_000009,M_d63c5450caac,models/M_d63c5450caac.yaml,Tryptophan(aq),Tryptophan__dG_p120(aq),0.0,101325.0,5a2f81d6fbcf5026,ok,0.004495291999774054,
TRY_DG_000010,TRY_DG_000010,M_81dedef9fa51,models/M_81dedef9fa51.yaml,Tryptophan(aq),Tryptophan__dG_p160(aq),0.0,101325.0,56a5ec95577538bd,ok,0.004528208999545313,
TRY_DG_000011,TRY_DG_000011,M_0e329b59d5d1,models/M_0e329b59d5d1.yaml,Tryptophan(aq),Tryptophan__dG_p200(aq),0.0,101325.0,fe608d4fec4a8bff,ok,0.0045184999908087775,
