case_id,study_id,substudy_id,target_product,target_variant,model_id,NH3_mol,HCN_mol,C2H2_mol,C2H2_over_HCN,deltaG_offset_kJ_mol,T_C,P_Pa,X_eq,log10_X_eq,n_eq_mol,log10_n_eq_mol,formed_bool,formation_call,solver_status,runtime_seconds
TYR_DG_000001,tyrosine,deltaG_sweep,Tyrosine(aq),Tyrosine__dG_m200(aq),M_ffde0ec1126b,0.0,0.02,0.042,2.1,-200.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0050234160007676
TYR_DG_000002,tyrosine,deltaG_sweep,Tyrosine(aq),Tyrosine__dG_m160(aq),M_b54bf49d38ea,0.0,0.02,0.042,2.1,-160.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0045681250048801
TYR_DG_000003,tyrosine,deltaG_sweep,Tyrosine(aq),Tyrosine__dG_m120(aq),M_eb84077f6ff9,0.0,0.02,0.042,2.1,-120.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0045231249969219
TYR_DG_000004,tyrosine,deltaG_sweep,Tyrosine(aq),Tyrosine__dG_m080(aq),M_40f58ec6fd93,0.0,0.02,0.042,2.1,-80.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0045922499994048
TYR_DG_000005,tyrosine,deltaG_sweep,Tyrosine(aq),Tyrosine__dG_m040(aq),M_4ca4051e722b,0.0,0.02,0.042,2.1,-40.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.004511833001743
TYR_DG_000006,tyrosine,deltaG_sweep,Tyrosine(aq),Tyrosine__dG_000(aq),M_6f391d545b11,0.0,0.02,0.042,2.1,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.004972666996764
TYR_DG_000007,tyrosine,deltaG_sweep,Tyrosine(aq),Tyrosine__dG_p040(aq),M_60ff7e4d5d83,0.0,0.02,0.042,2.1,40.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.004547917007585
TYR_DG_000008,tyrosine,deltaG_sweep,Tyrosine(aq),Tyrosine__dG_p080(aq),M_467b9fc47391,0.0,0.02,0.042,2.1,80.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0044622090063057
TYR_DG_000009,tyrosine,deltaG_sweep,Tyrosine(aq),Tyrosine__dG_p120(aq),M_4f2cb03e3701,0.0,0.02,0.042,2.1,120.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0047305409971158
TYR_DG_000010,tyrosine,deltaG_sweep,Tyrosine(aq),Tyrosine__dG_p160(aq),M_950418fb8037,0.0,0.02,0.042,2.1,160.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0044374999997671
TYR_DG_000011,tyrosine,deltaG_sweep,Tyrosine(aq),Tyrosine__dG_p200(aq),M_e773909868c2,0.0,0.02,0.042,2.1,200.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0044314999977359
TYR_INV_000001,tyrosine,inventory_landscape,Tyrosine(aq),Tyrosine(aq),M_3f3272a8ab8d,0.0,0.02,0.0,0.0,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0052379160042619
TYR_INV_000002,tyrosine,inventory_landscape,Tyrosine(aq),Tyrosine(aq),M_3f3272a8ab8d,0.0,0.02,0.0041666666666666,0.2083333333333333,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0009708750003483
TYR_INV_000003,tyrosine,inventory_landscape,Tyrosine(aq),Tyrosine(aq),M_3f3272a8ab8d,0.0,0.02,0.0083333333333333,0.4166666666666667,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0008977919933386
TYR_INV_000004,tyrosine,inventory_landscape,Tyrosine(aq),Tyrosine(aq),M_3f3272a8ab8d,0.0,0.02,0.0125,0.625,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0009236250043613
TYR_INV_000005,tyrosine,inventory_landscape,Tyrosine(aq),Tyrosine(aq),M_3f3272a8ab8d,0.0,0.02,0.0166666666666666,0.8333333333333334,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0011333330039633
TYR_INV_000006,tyrosine,inventory_landscape,Tyrosine(aq),Tyrosine(aq),M_3f3272a8ab8d,0.0,0.02,0.0208333333333333,1.0416666666666667,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0009031250083353
TYR_INV_000007,tyrosine,inventory_landscape,Tyrosine(aq),Tyrosine(aq),M_3f3272a8ab8d,0.0,0.02,0.025,1.25,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0008742909994907
TYR_INV_000008,tyrosine,inventory_landscape,Tyrosine(aq),Tyrosine(aq),M_3f3272a8ab8d,0.0,0.02,0.0291666666666666,1.4583333333333337,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0008606670016888
TYR_INV_000009,tyrosine,inventory_landscape,Tyrosine(aq),Tyrosine(aq),M_3f3272a8ab8d,0.0,0.02,0.0333333333333333,1.6666666666666667,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.000858249986777
TYR_INV_000010,tyrosine,inventory_landscape,Tyrosine(aq),Tyrosine(aq),M_3f3272a8ab8d,0.0,0.02,0.0375,1.875,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0008475840004393
TYR_INV_000011,tyrosine,inventory_landscape,Tyrosine(aq),Tyrosine(aq),M_3f3272a8ab8d,0.0,0.02,0.0416666666666666,2.083333333333333,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0008465419959975
TYR_INV_000012,tyrosine,inventory_landscape,Tyrosine(aq),Tyrosine(aq),M_3f3272a8ab8d,0.0,0.02,0.0458333333333333,2.291666666666667,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0009259169892175
TYR_INV_000013,tyrosine,inventory_landscape,Tyrosine(aq),Tyrosine(aq),M_3f3272a8ab8d,0.0,0.02,0.05,2.5,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0008550000056857
TYR_INV_000014,tyrosine,inventory_landscape,Tyrosine(aq),Tyrosine(aq),M_3f3272a8ab8d,0.0,0.02,0.0541666666666666,2.708333333333333,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0008395830082008
TYR_INV_000015,tyrosine,inventory_landscape,Tyrosine(aq),Tyrosine(aq),M_3f3272a8ab8d,0.0,0.02,0.0583333333333333,2.916666666666667,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0008468330051982
TYR_INV_000016,tyrosine,inventory_landscape,Tyrosine(aq),Tyrosine(aq),M_3f3272a8ab8d,0.0,0.02,0.0625,3.125,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.000843291010824
TYR_INV_000017,tyrosine,inventory_landscape,Tyrosine(aq),Tyrosine(aq),M_3f3272a8ab8d,0.0,0.02,0.0666666666666666,3.333333333333333,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0008337500039488
TYR_INV_000018,tyrosine,inventory_landscape,Tyrosine(aq),Tyrosine(aq),M_3f3272a8ab8d,0.0,0.02,0.0708333333333333,3.541666666666667,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0008369160059373
TYR_INV_000019,tyrosine,inventory_landscape,Tyrosine(aq),Tyrosine(aq),M_3f3272a8ab8d,0.0,0.02,0.075,3.75,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0008396250050282
TYR_INV_000020,tyrosine,inventory_landscape,Tyrosine(aq),Tyrosine(aq),M_3f3272a8ab8d,0.0,0.02,0.0791666666666666,3.9583333333333335,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0008701250044396
TYR_INV_000021,tyrosine,inventory_landscape,Tyrosine(aq),Tyrosine(aq),M_3f3272a8ab8d,0.0,0.02,0.0833333333333333,4.166666666666667,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.000893916003406
