case_id,scenario_id,model_id,yaml_path,target_product,target_variant,T_C,P_Pa,case_hash,status,runtime_seconds,error_message
TYR_INV_000001,TYR_INV_000001,M_3f3272a8ab8d,models/M_3f3272a8ab8d.yaml,Tyrosine(aq),Tyrosine(aq),0.0,101325.0,6627e33f44448c2a,ok,0.005237916004261933,
TYR_INV_000002,TYR_INV_000002,M_3f3272a8ab8d,models/M_3f3272a8ab8d.yaml,Tyrosine(aq),Tyrosine(aq),0.0,101325.0,a5a038b0434f5d54,ok,0.0009708750003483146,
TYR_INV_000003,TYR_INV_000003,M_3f3272a8ab8d,models/M_3f3272a8ab8d.yaml,Tyrosine(aq),Tyrosine(aq),0.0,101325.0,eb0d2d6d233b8ed9,ok,0.0008977919933386147,
TYR_INV_000004,TYR_INV_000004,M_3f3272a8ab8d,models/M_3f3272a8ab8d.yaml,Tyrosine(aq),Tyrosine(aq),0.0,101325.0,7eb7ffe075411c00,ok,0.0009236250043613836,
TYR_INV_000005,TYR_INV_000005,M_3f3272a8ab8d,models/M_3f3272a8ab8d.yaml,Tyrosine(aq),Tyrosine(aq),0.0,101325.0,6eb177288d875b78,ok,0.0011333330039633438,
TYR_INV_000006,TYR_INV_000006,M_3f3272a8ab8d,models/M_3f3272a8ab8d.yaml,Tyrosine(aq),Tyrosine(aq),0.0,101325.0,f22f87e89b20ea19,ok,0.000903125008335337,
TYR_INV_000007,TYR_INV_000007,M_3f3272a8ab8d,models/M_3f3272a8ab8d.yaml,Tyrosine(aq),Tyrosine(aq),0.0,101325.0,b0b6b3a8013b4076,ok,0.0008742909994907677,
TYR_INV_000008,TYR_INV_000008,M_3f3272a8ab8d,models/M_3f3272a8ab8d.yaml,Tyrosine(aq),Tyrosine(aq),0.0,101325.0,fb7803a737b5b2c6,ok,0.0008606670016888529,
TYR_INV_000009,TYR_INV_000009,M_3f3272a8ab8d,models/M_3f3272a8ab8d.yaml,Tyrosine(aq),Tyrosine(aq),0.0,101325.0,ba25ba454d86bd8a,ok,0.0008582499867770821,
TYR_INV_000010,TYR_INV_000010,M_3f3272a8ab8d,models/M_3f3272a8ab8d.yaml,Tyrosine(aq),Tyrosine(aq),0.0,101325.0,6e1b35f1ff6a7e2a,ok,0.0008475840004393831,
TYR_INV_000011,TYR_INV_000011,M_3f3272a8ab8d,models/M_3f3272a8ab8d.yaml,Tyrosine(aq),Tyrosine(aq),0.0,101325.0,6acbd335cfbbe908,ok,0.0008465419959975407,
TYR_INV_000012,TYR_INV_000012,M_3f3272a8ab8d,models/M_3f3272a8ab8d.yaml,Tyrosine(aq),Tyrosine(aq),0.0,101325.0,250e59a129b18aea,ok,0.0009259169892175123,
TYR_INV_000013,TYR_INV_000013,M_3f3272a8ab8d,models/M_3f3272a8ab8d.yaml,Tyrosine(aq),Tyrosine(aq),0.0,101325.0,bef20cb48d9561a9,ok,0.0008550000056857243,
TYR_INV_000014,TYR_INV_000014,M_3f3272a8ab8d,models/M_3f3272a8ab8d.yaml,Tyrosine(aq),Tyrosine(aq),0.0,101325.0,263f77272061a3f8,ok,0.0008395830082008615,
TYR_INV_000015,TYR_INV_000015,M_3f3272a8ab8d,models/M_3f3272a8ab8d.yaml,Tyrosine(aq),Tyrosine(aq),0.0,101325.0,0ec6a3757d3f8534,ok,0.0008468330051982775,
TYR_INV_000016,TYR_INV_000016,M_3f3272a8ab8d,models/M_3f3272a8ab8d.yaml,Tyrosine(aq),Tyrosine(aq),0.0,101325.0,fae8552a09007c89,ok,0.0008432910108240321,
TYR_INV_000017,TYR_INV_000017,M_3f3272a8ab8d,models/M_3f3272a8ab8d.yaml,Tyrosine(aq),Tyrosine(aq),0.0,101325.0,fad30935afa5306d,ok,0.0008337500039488077,
TYR_INV_000018,TYR_INV_000018,M_3f3272a8ab8d,models/M_3f3272a8ab8d.yaml,Tyrosine(aq),Tyrosine(aq),0.0,101325.0,855d99bb9d6d5e48,ok,0.0008369160059373826,
TYR_INV_000019,TYR_INV_000019,M_3f3272a8ab8d,models/M_3f3272a8ab8d.yaml,Tyrosine(aq),Tyrosine(aq),0.0,101325.0,e54446e80285382a,ok,0.0008396250050282106,
TYR_INV_000020,TYR_INV_000020,M_3f3272a8ab8d,models/M_3f3272a8ab8d.yaml,Tyrosine(aq),Tyrosine(aq),0.0,101325.0,e30f0cd8c81a3040,ok,0.0008701250044396147,
TYR_INV_000021,TYR_INV_000021,M_3f3272a8ab8d,models/M_3f3272a8ab8d.yaml,Tyrosine(aq),Tyrosine(aq),0.0,101325.0,2afb8733e38706e0,ok,0.0008939160034060478,
TYR_INV_000022,TYR_INV_000022,M_3f3272a8ab8d,models/M_3f3272a8ab8d.yaml,Tyrosine(aq),Tyrosine(aq),0.0,101325.0,37174e031a165a70,ok,0.0008347910043084994,
TYR_INV_000023,TYR_INV_000023,M_3f3272a8ab8d,models/M_3f3272a8ab8d.yaml,Tyrosine(aq),Tyrosine(aq),0.0,101325.0,4ca09194f0bb9b0d,ok,0.0008345840033143759,
TYR_INV_000024,TYR_INV_000024,M_3f3272a8ab8d,models/M_3f3272a8ab8d.yaml,Tyrosine(aq),Tyrosine(aq),0.0,101325.0,ba04e03141f96db9,ok,0.0008463330013910308,
TYR_INV_000025,TYR_INV_000025,M_3f3272a8ab8d,models/M_3f3272a8ab8d.yaml,Tyrosine(aq),Tyrosine(aq),0.0,101325.0,099fbe895f4d4736,ok,0.0008314169972436503,
TYR_DG_000001,TYR_DG_000001,M_ffde0ec1126b,models/M_ffde0ec1126b.yaml,Tyrosine(aq),Tyrosine__dG_m200(aq),0.0,101325.0,03b6b29441f10ca7,ok,0.005023416000767611,
TYR_DG_000002,TYR_DG_000002,M_b54bf49d38ea,models/M_b54bf49d38ea.yaml,Tyrosine(aq),Tyrosine__dG_m160(aq),0.0,101325.0,a99375817b6b5b85,ok,0.00456812500488013,
TYR_DG_000003,TYR_DG_000003,M_eb84077f6ff9,models/M_eb84077f6ff9.yaml,Tyrosine(aq),Tyrosine__dG_m120(aq),0.0,101325.0,c8286e8f1227ab24,ok,0.004523124996921979,
TYR_DG_000004,TYR_DG_000004,M_40f58ec6fd93,models/M_40f58ec6fd93.yaml,Tyrosine(aq),Tyrosine__dG_m080(aq),0.0,101325.0,6d0c4e9771a1107d,ok,0.004592249999404885,
TYR_DG_000005,TYR_DG_000005,M_4ca4051e722b,models/M_4ca4051e722b.yaml,Tyrosine(aq),Tyrosine__dG_m040(aq),0.0,101325.0,56c17b783d533868,ok,0.004511833001743071,
TYR_DG_000006,TYR_DG_000006,M_6f391d545b11,models/M_6f391d545b11.yaml,Tyrosine(aq),Tyrosine__dG_000(aq),0.0,101325.0,899cb04d0b5123e7,ok,0.004972666996764019,
TYR_DG_000007,TYR_DG_000007,M_60ff7e4d5d83,models/M_60ff7e4d5d83.yaml,Tyrosine(aq),Tyrosine__dG_p040(aq),0.0,101325.0,71b21a0622f60464,ok,0.004547917007585056,
TYR_DG_000008,TYR_DG_000008,M_467b9fc47391,models/M_467b9fc47391.yaml,Tyrosine(aq),Tyrosine__dG_p080(aq),0.0,101325.0,ccfe1fb0321c1fbc,ok,0.004462209006305784,
TYR_DG_000009,TYR_DG_000009,M_4f2cb03e3701,models/M_4f2cb03e3701.yaml,Tyrosine(aq),Tyrosine__dG_p120(aq),0.0,101325.0,9987ca59e9406a32,ok,0.004730540997115895,
TYR_DG_000010,TYR_DG_000010,M_950418fb8037,models/M_950418fb8037.yaml,Tyrosine(aq),Tyrosine__dG_p160(aq),0.0,101325.0,1abf496b445670fa,ok,0.004437499999767169,
TYR_DG_000011,TYR_DG_000011,M_e773909868c2,models/M_e773909868c2.yaml,Tyrosine(aq),Tyrosine__dG_p200(aq),0.0,101325.0,bf557bd28ba0bd39,ok,0.004431499997735955,
