case_id,study_id,substudy_id,target_product,target_variant,model_id,NH3_mol,HCN_mol,C2H2_mol,C2H2_over_HCN,deltaG_offset_kJ_mol,T_C,P_Pa,X_eq,log10_X_eq,n_eq_mol,log10_n_eq_mol,formed_bool,formation_call,solver_status,runtime_seconds
VAL_DG_000001,valine,deltaG_sweep,Valine(aq),Valine__dG_m200(aq),M_d1990a765e43,0.0,0.02,0.042,2.1,-200.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0045502920111175
VAL_DG_000002,valine,deltaG_sweep,Valine(aq),Valine__dG_m160(aq),M_a25e054332f8,0.0,0.02,0.042,2.1,-160.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0048589169891783
VAL_DG_000003,valine,deltaG_sweep,Valine(aq),Valine__dG_m120(aq),M_ded54dabe318,0.0,0.02,0.042,2.1,-120.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0045557080011349
VAL_DG_000004,valine,deltaG_sweep,Valine(aq),Valine__dG_m080(aq),M_b4debc016989,0.0,0.02,0.042,2.1,-80.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0044417919998522
VAL_DG_000005,valine,deltaG_sweep,Valine(aq),Valine__dG_m040(aq),M_4139a0d3f03b,0.0,0.02,0.042,2.1,-40.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0050197079981444
VAL_DG_000006,valine,deltaG_sweep,Valine(aq),Valine__dG_000(aq),M_d961f92245ca,0.0,0.02,0.042,2.1,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0045856670039938
VAL_DG_000007,valine,deltaG_sweep,Valine(aq),Valine__dG_p040(aq),M_e4bf2ab9c717,0.0,0.02,0.042,2.1,40.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0045221670006867
VAL_DG_000008,valine,deltaG_sweep,Valine(aq),Valine__dG_p080(aq),M_ac397ab244df,0.0,0.02,0.042,2.1,80.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0045601250021718
VAL_DG_000009,valine,deltaG_sweep,Valine(aq),Valine__dG_p120(aq),M_c745475c8df3,0.0,0.02,0.042,2.1,120.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0045911249908385
VAL_DG_000010,valine,deltaG_sweep,Valine(aq),Valine__dG_p160(aq),M_502a982a80c7,0.0,0.02,0.042,2.1,160.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0047484170063398
VAL_DG_000011,valine,deltaG_sweep,Valine(aq),Valine__dG_p200(aq),M_0b2d77fa3659,0.0,0.02,0.042,2.1,200.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0044492920133052
VAL_INV_000001,valine,inventory_landscape,Valine(aq),Valine(aq),M_3f7c7c74c57c,0.0,0.02,0.0,0.0,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0052434579993132
VAL_INV_000002,valine,inventory_landscape,Valine(aq),Valine(aq),M_3f7c7c74c57c,0.0,0.02,0.0041666666666666,0.2083333333333333,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0009762080007931
VAL_INV_000003,valine,inventory_landscape,Valine(aq),Valine(aq),M_3f7c7c74c57c,0.0,0.02,0.0083333333333333,0.4166666666666667,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0015102500037755
VAL_INV_000004,valine,inventory_landscape,Valine(aq),Valine(aq),M_3f7c7c74c57c,0.0,0.02,0.0125,0.625,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0009164169896394
VAL_INV_000005,valine,inventory_landscape,Valine(aq),Valine(aq),M_3f7c7c74c57c,0.0,0.02,0.0166666666666666,0.8333333333333334,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0008831670129438
VAL_INV_000006,valine,inventory_landscape,Valine(aq),Valine(aq),M_3f7c7c74c57c,0.0,0.02,0.0208333333333333,1.0416666666666667,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0008916660008253
VAL_INV_000007,valine,inventory_landscape,Valine(aq),Valine(aq),M_3f7c7c74c57c,0.0,0.02,0.025,1.25,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0008683750056661
VAL_INV_000008,valine,inventory_landscape,Valine(aq),Valine(aq),M_3f7c7c74c57c,0.0,0.02,0.0291666666666666,1.4583333333333337,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0008514170040143
VAL_INV_000009,valine,inventory_landscape,Valine(aq),Valine(aq),M_3f7c7c74c57c,0.0,0.02,0.0333333333333333,1.6666666666666667,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0008635419944766
VAL_INV_000010,valine,inventory_landscape,Valine(aq),Valine(aq),M_3f7c7c74c57c,0.0,0.02,0.0375,1.875,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0008655829878989
VAL_INV_000011,valine,inventory_landscape,Valine(aq),Valine(aq),M_3f7c7c74c57c,0.0,0.02,0.0416666666666666,2.083333333333333,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0009549160022288
VAL_INV_000012,valine,inventory_landscape,Valine(aq),Valine(aq),M_3f7c7c74c57c,0.0,0.02,0.0458333333333333,2.291666666666667,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.000895417004358
VAL_INV_000013,valine,inventory_landscape,Valine(aq),Valine(aq),M_3f7c7c74c57c,0.0,0.02,0.05,2.5,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0008555420063203
