case_id,scenario_id,model_id,yaml_path,target_product,target_variant,T_C,P_Pa,case_hash,status,runtime_seconds,error_message
VAL_INV_000001,VAL_INV_000001,M_3f7c7c74c57c,models/M_3f7c7c74c57c.yaml,Valine(aq),Valine(aq),0.0,101325.0,88ec2a2651ce33c4,ok,0.00524345799931325,
VAL_INV_000002,VAL_INV_000002,M_3f7c7c74c57c,models/M_3f7c7c74c57c.yaml,Valine(aq),Valine(aq),0.0,101325.0,da9d3091e6f50279,ok,0.0009762080007931218,
VAL_INV_000003,VAL_INV_000003,M_3f7c7c74c57c,models/M_3f7c7c74c57c.yaml,Valine(aq),Valine(aq),0.0,101325.0,37c57cfcead24f8f,ok,0.0015102500037755817,
VAL_INV_000004,VAL_INV_000004,M_3f7c7c74c57c,models/M_3f7c7c74c57c.yaml,Valine(aq),Valine(aq),0.0,101325.0,821dfa7b5a8ff64e,ok,0.0009164169896394014,
VAL_INV_000005,VAL_INV_000005,M_3f7c7c74c57c,models/M_3f7c7c74c57c.yaml,Valine(aq),Valine(aq),0.0,101325.0,441c57ec6c69a575,ok,0.0008831670129438862,
VAL_INV_000006,VAL_INV_000006,M_3f7c7c74c57c,models/M_3f7c7c74c57c.yaml,Valine(aq),Valine(aq),0.0,101325.0,ccc09fb8127579b2,ok,0.000891666000825353,
VAL_INV_000007,VAL_INV_000007,M_3f7c7c74c57c,models/M_3f7c7c74c57c.yaml,Valine(aq),Valine(aq),0.0,101325.0,0a39e9de836f3f0c,ok,0.0008683750056661665,
VAL_INV_000008,VAL_INV_000008,M_3f7c7c74c57c,models/M_3f7c7c74c57c.yaml,Valine(aq),Valine(aq),0.0,101325.0,4405dfb345b0890e,ok,0.0008514170040143654,
VAL_INV_000009,VAL_INV_000009,M_3f7c7c74c57c,models/M_3f7c7c74c57c.yaml,Valine(aq),Valine(aq),0.0,101325.0,9e847a50b1598408,ok,0.0008635419944766909,
VAL_INV_000010,VAL_INV_000010,M_3f7c7c74c57c,models/M_3f7c7c74c57c.yaml,Valine(aq),Valine(aq),0.0,101325.0,67752736dc5f5aa1,ok,0.0008655829878989607,
VAL_INV_000011,VAL_INV_000011,M_3f7c7c74c57c,models/M_3f7c7c74c57c.yaml,Valine(aq),Valine(aq),0.0,101325.0,62ab9dca0a9dcad9,ok,0.0009549160022288561,
VAL_INV_000012,VAL_INV_000012,M_3f7c7c74c57c,models/M_3f7c7c74c57c.yaml,Valine(aq),Valine(aq),0.0,101325.0,3eb936918ea85513,ok,0.0008954170043580234,
VAL_INV_000013,VAL_INV_000013,M_3f7c7c74c57c,models/M_3f7c7c74c57c.yaml,Valine(aq),Valine(aq),0.0,101325.0,c245cbb6160be697,ok,0.0008555420063203201,
VAL_INV_000014,VAL_INV_000014,M_3f7c7c74c57c,models/M_3f7c7c74c57c.yaml,Valine(aq),Valine(aq),0.0,101325.0,494532c0a5987e94,ok,0.0008486250007990748,
VAL_INV_000015,VAL_INV_000015,M_3f7c7c74c57c,models/M_3f7c7c74c57c.yaml,Valine(aq),Valine(aq),0.0,101325.0,c1ee8c3eff68a880,ok,0.0010206250008195639,
VAL_INV_000016,VAL_INV_000016,M_3f7c7c74c57c,models/M_3f7c7c74c57c.yaml,Valine(aq),Valine(aq),0.0,101325.0,c1e351dad1b1ffe3,ok,0.0008785000100033358,
