cantera_name,range_label,T_low_K,T_high_K,a0,a1,a2,a3,a4,a5,a6,a7,a8
Adenine(aq),low,273.16,500.0,4563.776472659549,19109.16078178014,-680.1522345489474,5.622225490762869,-0.0184049538962867,2.694249271443951e-05,-1.4202855036043361e-08,5742.056649634733,2898.0343401431955
Adenine(aq),high,500.0,643.15,-13.78418924341496,48299.81571150484,16984.097800515978,-351.64532060849973,1.812918748635886,-0.0035021878141607,2.3015290425378e-06,7585.3208121972575,-46252.20632782185
Alanine(aq),low,273.16,500.0,803.0212200512883,8633.754138814986,-1222.842151277894,11.859240823040862,-0.0436553310929522,7.205893972080027e-05,-4.484274888551363e-08,13885.19775166304,4872.255554651446
Alanine(aq),high,500.0,643.15,-7580.894029279154,3313.459748020622,-13785.88796291813,205.38743744861247,-0.8709277459251276,0.0014596307417919,-8.584917705003909e-07,12322.873962142208,44480.13837850368
C2H2(aq),low,273.16,500.0,-888.6383979770649,-14035.87890367948,1166.2988352375023,-10.350813151398471,0.0370377671308972,-5.9993956701021e-05,3.6881604966288944e-08,-3166.82943420027,-4780.054064001102
C2H2(aq),high,500.0,643.15,7116.361881836515,7765.52204479188,17115.877412149493,-282.05467726649727,1.2827395764875829,-0.0022730923322886,1.4006683972134873e-06,-1243.2412168137698,-52819.39049998372
Cytosine(aq),low,273.16,500.0,-2869.8975963354264,41773.81646616614,-2596.312985658636,23.47515178614883,-0.0841471022472033,0.0001366048450732,-8.385196387107027e-08,8643.403770630264,10656.583992883136
Cytosine(aq),high,500.0,643.15,-4862.492061940687,50693.615736049935,-41294.06551109887,577.2966582395048,-2.31696274306548,0.0036882492116014,-2.0660134655415194e-06,1785.410769043055,136341.76809683014
H2O(l),low,273.16,500.0,-1533.7861282695362,287.0171210074382,-45.37912667428536,0.5744986781252118,-0.0023020423029892,4.079021469029165e-06,-2.689104531263924e-09,-26117.98117060614,168.22281770751474
H2O(l),high,500.0,643.15,-6893.946053306905,276.8647758524143,5.1465978118938445,-0.0272104524829517,0.0002058975548987,-3.9845308536993e-07,2.4313200298585063e-10,-28975.67858381816,-17.69323945639012
HCN(aq),low,273.16,500.0,-648.3623887432739,-8220.526846910385,677.6932032020907,-5.844863358081681,0.0204275169664776,-3.2239217211694934e-05,1.9207137025043477e-08,-2403.115897114113,-2792.2283622389687
HCN(aq),high,500.0,643.15,4283.725504659818,-4420.153547336248,8725.943401880604,-129.7669124209729,0.5497909246170917,-0.0009199919927311,5.400668786265868e-07,-1338.9689264866772,-28160.29211039233
NH3(aq),low,273.16,500.0,-150.624707410156,3461.193177938991,-234.47656451822203,2.214602027727067,-0.0079677212009113,1.2917875561586876e-05,-7.880608025452024e-09,995.9888655852532,955.830084035907
NH3(aq),high,500.0,643.15,-6089.828250602405,5937.128129013462,7111.8938870569045,-106.43557188144288,0.4405743134051075,-0.0007168573763378,4.0895564652377093e-07,1950.5737554786108,-22542.460243464902
Alanine__dG_m200(aq),low,273.16,500.0,803.0212200512883,8633.754138814986,-1222.842151277894,11.859240823040862,-0.0436553310929522,7.205893972080027e-05,-4.484274888551363e-08,-10169.27475594512,4872.255554651446
Alanine__dG_m200(aq),high,500.0,643.15,-7580.894029279154,3313.459748020622,-13785.88796291813,205.38743744861247,-0.8709277459251276,0.0014596307417919,-8.584917705003909e-07,-11731.598545465951,44480.13837850368
Alanine__dG_m160(aq),low,273.16,500.0,803.0212200512883,8633.754138814986,-1222.842151277894,11.859240823040862,-0.0436553310929522,7.205893972080027e-05,-4.484274888551363e-08,-5358.380254423486,4872.255554651446
Alanine__dG_m160(aq),high,500.0,643.15,-7580.894029279154,3313.459748020622,-13785.88796291813,205.38743744861247,-0.8709277459251276,0.0014596307417919,-8.584917705003909e-07,-6920.704043944317,44480.13837850368
Alanine__dG_m120(aq),low,273.16,500.0,803.0212200512883,8633.754138814986,-1222.842151277894,11.859240823040862,-0.0436553310929522,7.205893972080027e-05,-4.484274888551363e-08,-547.4857529018554,4872.255554651446
Alanine__dG_m120(aq),high,500.0,643.15,-7580.894029279154,3313.459748020622,-13785.88796291813,205.38743744861247,-0.8709277459251276,0.0014596307417919,-8.584917705003909e-07,-2109.8095424226867,44480.13837850368
Alanine__dG_m080(aq),low,273.16,500.0,803.0212200512883,8633.754138814986,-1222.842151277894,11.859240823040862,-0.0436553310929522,7.205893972080027e-05,-4.484274888551363e-08,4263.408748619777,4872.255554651446
Alanine__dG_m080(aq),high,500.0,643.15,-7580.894029279154,3313.459748020622,-13785.88796291813,205.38743744861247,-0.8709277459251276,0.0014596307417919,-8.584917705003909e-07,2701.0849590989455,44480.13837850368
Alanine__dG_m040(aq),low,273.16,500.0,803.0212200512883,8633.754138814986,-1222.842151277894,11.859240823040862,-0.0436553310929522,7.205893972080027e-05,-4.484274888551363e-08,9074.303250141409,4872.255554651446
Alanine__dG_m040(aq),high,500.0,643.15,-7580.894029279154,3313.459748020622,-13785.88796291813,205.38743744861247,-0.8709277459251276,0.0014596307417919,-8.584917705003909e-07,7511.979460620577,44480.13837850368
Alanine__dG_000(aq),low,273.16,500.0,803.0212200512883,8633.754138814986,-1222.842151277894,11.859240823040862,-0.0436553310929522,7.205893972080027e-05,-4.484274888551363e-08,13885.19775166304,4872.255554651446
Alanine__dG_000(aq),high,500.0,643.15,-7580.894029279154,3313.459748020622,-13785.88796291813,205.38743744861247,-0.8709277459251276,0.0014596307417919,-8.584917705003909e-07,12322.873962142208,44480.13837850368
Alanine__dG_p040(aq),low,273.16,500.0,803.0212200512883,8633.754138814986,-1222.842151277894,11.859240823040862,-0.0436553310929522,7.205893972080027e-05,-4.484274888551363e-08,18696.09225318467,4872.255554651446
Alanine__dG_p040(aq),high,500.0,643.15,-7580.894029279154,3313.459748020622,-13785.88796291813,205.38743744861247,-0.8709277459251276,0.0014596307417919,-8.584917705003909e-07,17133.76846366384,44480.13837850368
Alanine__dG_p080(aq),low,273.16,500.0,803.0212200512883,8633.754138814986,-1222.842151277894,11.859240823040862,-0.0436553310929522,7.205893972080027e-05,-4.484274888551363e-08,23506.986754706304,4872.255554651446
Alanine__dG_p080(aq),high,500.0,643.15,-7580.894029279154,3313.459748020622,-13785.88796291813,205.38743744861247,-0.8709277459251276,0.0014596307417919,-8.584917705003909e-07,21944.66296518547,44480.13837850368
Alanine__dG_p120(aq),low,273.16,500.0,803.0212200512883,8633.754138814986,-1222.842151277894,11.859240823040862,-0.0436553310929522,7.205893972080027e-05,-4.484274888551363e-08,28317.881256227935,4872.255554651446
Alanine__dG_p120(aq),high,500.0,643.15,-7580.894029279154,3313.459748020622,-13785.88796291813,205.38743744861247,-0.8709277459251276,0.0014596307417919,-8.584917705003909e-07,26755.557466707105,44480.13837850368
Alanine__dG_p160(aq),low,273.16,500.0,803.0212200512883,8633.754138814986,-1222.842151277894,11.859240823040862,-0.0436553310929522,7.205893972080027e-05,-4.484274888551363e-08,33128.775757749565,4872.255554651446
Alanine__dG_p160(aq),high,500.0,643.15,-7580.894029279154,3313.459748020622,-13785.88796291813,205.38743744861247,-0.8709277459251276,0.0014596307417919,-8.584917705003909e-07,31566.451968228735,44480.13837850368
Alanine__dG_p200(aq),low,273.16,500.0,803.0212200512883,8633.754138814986,-1222.842151277894,11.859240823040862,-0.0436553310929522,7.205893972080027e-05,-4.484274888551363e-08,37939.670259271195,4872.255554651446
Alanine__dG_p200(aq),high,500.0,643.15,-7580.894029279154,3313.459748020622,-13785.88796291813,205.38743744861247,-0.8709277459251276,0.0014596307417919,-8.584917705003909e-07,36377.346469750366,44480.13837850368
