scenario,model_mode,yaml_file,target_product,T_C,T_K,P_Pa,species,X_initial,X_eq,initial_moles,solver_status,error_message,case_id,model_id,target_variant,runtime_seconds,study_id,substudy_id,H2O_mol,HCN_mol,C2H2_mol,NH3_mol,C2H2_over_HCN,deltaG_offset_kJ_mol,n_total_eq_mol,n_eq_mol,element_balance_relative_spread,element_total_mole_estimates
ALA_DG_000001,single_product_sensitivity,M_300fcb5f23d0.yaml,Alanine(aq),0.0,273.15,101325.0,H2O(l),0.8992805755395683,0.9125475285171102,1.0,ok,,ALA_DG_000001,M_300fcb5f23d0,Alanine__dG_m200(aq),0.0056774580007186,alanine_mvp,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-200.0,1.0520000000000012,0.960000000000001,1.899621144795893e-15,C:1.05200000e+00;H:1.05200000e+00;N:1.05200000e+00;O:1.05200000e+00
ALA_DG_000001,single_product_sensitivity,M_300fcb5f23d0.yaml,Alanine(aq),0.0,273.15,101325.0,HCN(aq),0.0179856115107913,1.1323550231561224e-84,0.02,ok,,ALA_DG_000001,M_300fcb5f23d0,Alanine__dG_m200(aq),0.0056774580007186,alanine_mvp,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-200.0,1.0520000000000012,1.1912374843602422e-84,1.899621144795893e-15,C:1.05200000e+00;H:1.05200000e+00;N:1.05200000e+00;O:1.05200000e+00
ALA_DG_000001,single_product_sensitivity,M_300fcb5f23d0.yaml,Alanine(aq),0.0,273.15,101325.0,C2H2(aq),0.0377697841726618,0.0209125475285171,0.042,ok,,ALA_DG_000001,M_300fcb5f23d0,Alanine__dG_m200(aq),0.0056774580007186,alanine_mvp,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-200.0,1.0520000000000012,0.022000000000000016,1.899621144795893e-15,C:1.05200000e+00;H:1.05200000e+00;N:1.05200000e+00;O:1.05200000e+00
ALA_DG_000001,single_product_sensitivity,M_300fcb5f23d0.yaml,Alanine(aq),0.0,273.15,101325.0,NH3(aq),0.0449640287769784,0.0475285171102661,0.05,ok,,ALA_DG_000001,M_300fcb5f23d0,Alanine__dG_m200(aq),0.0056774580007186,alanine_mvp,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-200.0,1.0520000000000012,0.049999999999999996,1.899621144795893e-15,C:1.05200000e+00;H:1.05200000e+00;N:1.05200000e+00;O:1.05200000e+00
ALA_DG_000001,single_product_sensitivity,M_300fcb5f23d0.yaml,Alanine(aq),0.0,273.15,101325.0,Alanine__dG_m200(aq),0.0,0.0190114068441064,0.0,ok,,ALA_DG_000001,M_300fcb5f23d0,Alanine__dG_m200(aq),0.0056774580007186,alanine_mvp,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-200.0,1.0520000000000012,0.019999999999999955,1.899621144795893e-15,C:1.05200000e+00;H:1.05200000e+00;N:1.05200000e+00;O:1.05200000e+00
ALA_DG_000002,single_product_sensitivity,M_7d069dd41e1e.yaml,Alanine(aq),0.0,273.15,101325.0,H2O(l),0.8992805755395683,0.9125475285171102,1.0,ok,,ALA_DG_000002,M_7d069dd41e1e,Alanine__dG_m160(aq),0.0056827499938663,alanine_mvp,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-160.0,1.0520000000000012,0.960000000000001,1.899621144795893e-15,C:1.05200000e+00;H:1.05200000e+00;N:1.05200000e+00;O:1.05200000e+00
ALA_DG_000002,single_product_sensitivity,M_7d069dd41e1e.yaml,Alanine(aq),0.0,273.15,101325.0,HCN(aq),0.0179856115107913,5.0472869569321495e-77,0.02,ok,,ALA_DG_000002,M_7d069dd41e1e,Alanine__dG_m160(aq),0.0056827499938663,alanine_mvp,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-160.0,1.0520000000000012,5.3097458786926274e-77,1.899621144795893e-15,C:1.05200000e+00;H:1.05200000e+00;N:1.05200000e+00;O:1.05200000e+00
ALA_DG_000002,single_product_sensitivity,M_7d069dd41e1e.yaml,Alanine(aq),0.0,273.15,101325.0,C2H2(aq),0.0377697841726618,0.0209125475285171,0.042,ok,,ALA_DG_000002,M_7d069dd41e1e,Alanine__dG_m160(aq),0.0056827499938663,alanine_mvp,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-160.0,1.0520000000000012,0.022000000000000016,1.899621144795893e-15,C:1.05200000e+00;H:1.05200000e+00;N:1.05200000e+00;O:1.05200000e+00
ALA_DG_000002,single_product_sensitivity,M_7d069dd41e1e.yaml,Alanine(aq),0.0,273.15,101325.0,NH3(aq),0.0449640287769784,0.0475285171102661,0.05,ok,,ALA_DG_000002,M_7d069dd41e1e,Alanine__dG_m160(aq),0.0056827499938663,alanine_mvp,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-160.0,1.0520000000000012,0.049999999999999996,1.899621144795893e-15,C:1.05200000e+00;H:1.05200000e+00;N:1.05200000e+00;O:1.05200000e+00
ALA_DG_000002,single_product_sensitivity,M_7d069dd41e1e.yaml,Alanine(aq),0.0,273.15,101325.0,Alanine__dG_m160(aq),0.0,0.0190114068441064,0.0,ok,,ALA_DG_000002,M_7d069dd41e1e,Alanine__dG_m160(aq),0.0056827499938663,alanine_mvp,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-160.0,1.0520000000000012,0.019999999999999955,1.899621144795893e-15,C:1.05200000e+00;H:1.05200000e+00;N:1.05200000e+00;O:1.05200000e+00
