study_id,substudy_id,target_product,target_variant,model_id,T_C,P_Pa,runtime_seconds,H2O_mol,HCN_mol,C2H2_mol,NH3_mol,C2H2_over_HCN,deltaG_offset_kJ_mol,case_id,X_eq,log10_X_eq,n_eq_mol,log10_n_eq_mol,formed_bool,formation_call,solver_status,error_message,element_balance_relative_spread,suspect_balance
alanine_mvp,deltaG_sweep,Alanine(aq),Alanine__dG_m200(aq),M_300fcb5f23d0,0.0,101325.0,0.0056774580007186,1.0,0.02,0.042,0.05,2.1,-200.0,ALA_DG_000001,0.0190114068441064,-1.7209857441537404,0.019999999999999955,-1.6989700043360196,True,significant,ok,nan,1.899621144795893e-15,False
alanine_mvp,deltaG_sweep,Alanine(aq),Alanine__dG_m160(aq),M_7d069dd41e1e,0.0,101325.0,0.0056827499938663,1.0,0.02,0.042,0.05,2.1,-160.0,ALA_DG_000002,0.0190114068441064,-1.7209857441537404,0.019999999999999955,-1.6989700043360196,True,significant,ok,nan,1.899621144795893e-15,False
alanine_mvp,deltaG_sweep,Alanine(aq),Alanine__dG_m120(aq),M_12d766d35a37,0.0,101325.0,0.0060030000022379,1.0,0.02,0.042,0.05,2.1,-120.0,ALA_DG_000003,0.0190114068441064,-1.7209857441537404,0.019999999999999955,-1.6989700043360196,True,significant,ok,nan,1.899621144795893e-15,False
alanine_mvp,deltaG_sweep,Alanine(aq),Alanine__dG_m080(aq),M_3c084603959f,0.0,101325.0,0.0058050420047948,1.0,0.02,0.042,0.05,2.1,-80.0,ALA_DG_000004,0.0190114068441064,-1.7209857441537404,0.019999999999999955,-1.6989700043360196,True,significant,ok,nan,1.899621144795893e-15,False
alanine_mvp,deltaG_sweep,Alanine(aq),Alanine__dG_m040(aq),M_f98fc5fa997e,0.0,101325.0,0.00550512499467,1.0,0.02,0.042,0.05,2.1,-40.0,ALA_DG_000005,0.0190114068441064,-1.7209857441537404,0.019999999999999955,-1.6989700043360196,True,significant,ok,nan,1.899621144795893e-15,False
alanine_mvp,deltaG_sweep,Alanine(aq),Alanine__dG_000(aq),M_daee40960184,0.0,101325.0,0.0059335419937269,1.0,0.02,0.042,0.05,2.1,0.0,ALA_DG_000006,0.0190114068441064,-1.7209857441537404,0.019999999999999955,-1.6989700043360196,True,significant,ok,nan,1.899621144795893e-15,False
alanine_mvp,deltaG_sweep,Alanine(aq),Alanine__dG_p040(aq),M_29396f6a9c40,0.0,101325.0,0.0060477500082924,1.0,0.02,0.042,0.05,2.1,40.0,ALA_DG_000007,0.0190114068441064,-1.7209857441537404,0.019999999999999955,-1.6989700043360196,True,significant,ok,nan,1.899621144795893e-15,False
alanine_mvp,deltaG_sweep,Alanine(aq),Alanine__dG_p080(aq),M_79624aaaa3a1,0.0,101325.0,0.0058523750049062,1.0,0.02,0.042,0.05,2.1,80.0,ALA_DG_000008,0.0190114068441064,-1.7209857441537404,0.019999999999999952,-1.6989700043360199,True,significant,ok,nan,2.110690160884326e-15,False
alanine_mvp,deltaG_sweep,Alanine(aq),Alanine__dG_p120(aq),M_e1ce75efec46,0.0,101325.0,0.0063750419940333,1.0,0.02,0.042,0.05,2.1,120.0,ALA_DG_000009,0.0190114068441064,-1.7209857441537404,0.019999999999999952,-1.6989700043360199,True,significant,ok,nan,2.110690160884326e-15,False
alanine_mvp,deltaG_sweep,Alanine(aq),Alanine__dG_p160(aq),M_576a8b6b960b,0.0,101325.0,0.0059257909888401,1.0,0.02,0.042,0.05,2.1,160.0,ALA_DG_000010,0.0190114068441056,-1.7209857441537588,0.01999999999999915,-1.6989700043360372,True,significant,ok,nan,2.1106901608843217e-15,False
alanine_mvp,deltaG_sweep,Alanine(aq),Alanine__dG_p200(aq),M_8940c7e30b50,0.0,101325.0,0.0054815420007798,1.0,0.02,0.042,0.05,2.1,200.0,ALA_DG_000011,0.0190113697910705,-1.7209865905900323,0.019999963123428593,-1.6989708051013306,True,significant,ok,nan,4.2213798778427494e-15,False
alanine_mvp,inventory_landscape,Alanine(aq),Alanine(aq),M_bcd9cb2f0c3e,0.0,101325.0,0.0391426670103101,1.0,0.02,0.0,0.0,0.0,0.0,ALA_INV_000001,0.0,,0.0,,False,below_threshold,ok,nan,0.0,False
alanine_mvp,inventory_landscape,Alanine(aq),Alanine(aq),M_bcd9cb2f0c3e,0.0,101325.0,0.0034757499961415,1.0,0.02,0.0041666666666666,0.0,0.2083333333333333,0.0,ALA_INV_000002,0.0041186161449752,-2.3852486824032293,0.004166666666666595,-2.3802112417116135,True,significant,ok,nan,9.218326267068807e-15,False
alanine_mvp,inventory_landscape,Alanine(aq),Alanine(aq),M_bcd9cb2f0c3e,0.0,101325.0,0.001073625011486,1.0,0.02,0.0083333333333333,0.0,0.4166666666666667,0.0,ALA_INV_000003,0.0083056478405315,-2.080626486921809,0.008333333333333299,-2.079181246047627,True,significant,ok,nan,7.0818212866454946e-15,False
alanine_mvp,inventory_landscape,Alanine(aq),Alanine(aq),M_bcd9cb2f0c3e,0.0,101325.0,0.0010194170026807,1.0,0.02,0.0125,0.0,0.625,0.0,ALA_INV_000004,0.0125628140703517,-1.900913067737671,0.012499999999999975,-1.9030899869919444,True,significant,ok,nan,5.579010173995747e-15,False
alanine_mvp,inventory_landscape,Alanine(aq),Alanine(aq),M_bcd9cb2f0c3e,0.0,101325.0,0.0009826659952523,1.0,0.02,0.0166666666666666,0.0,0.8333333333333334,0.0,ALA_INV_000005,0.0168918918918918,-1.7723217067229222,0.016666666666666614,-1.778151250383645,True,significant,ok,nan,8.21415008084151e-15,False
alanine_mvp,inventory_landscape,Alanine(aq),Alanine(aq),M_bcd9cb2f0c3e,0.0,101325.0,0.0012198329932289,1.0,0.02,0.0208333333333333,0.0,1.0416666666666667,0.0,ALA_INV_000006,0.0203908241291418,-1.6905652211318305,0.019999999999999962,-1.6989700043360196,True,significant,ok,nan,5.4332069854213136e-15,False
alanine_mvp,inventory_landscape,Alanine(aq),Alanine(aq),M_bcd9cb2f0c3e,0.0,101325.0,0.001076540997019,1.0,0.02,0.025,0.0,1.25,0.0,ALA_INV_000007,0.0203045685279187,-1.6924062348336322,0.019999999999999966,-1.6989700043360196,True,significant,ok,nan,5.973788863465296e-15,False
alanine_mvp,inventory_landscape,Alanine(aq),Alanine(aq),M_bcd9cb2f0c3e,0.0,101325.0,0.0010730409994721,1.0,0.02,0.0291666666666666,0.0,1.4583333333333337,0.0,ALA_INV_000008,0.0202190395956192,-1.6942394772429854,0.019999999999999993,-1.698970004336019,True,significant,ok,nan,1.795811463589133e-15,False
alanine_mvp,inventory_landscape,Alanine(aq),Alanine(aq),M_bcd9cb2f0c3e,0.0,101325.0,0.0016345000040018,1.0,0.02,0.0333333333333333,0.0,1.6666666666666667,0.0,ALA_INV_000009,0.0201342281879194,-1.696065013692613,0.019999999999999955,-1.6989700043360196,True,significant,ok,nan,3.3530225575927516e-15,False
alanine_mvp,inventory_landscape,Alanine(aq),Alanine(aq),M_bcd9cb2f0c3e,0.0,101325.0,0.0013180000096326,1.0,0.02,0.0375,0.0,1.875,0.0,ALA_INV_000010,0.0200501253132832,-1.6978829086948048,0.019999999999999997,-1.6989700043360187,True,significant,ok,nan,5.565027692356673e-16,False
alanine_mvp,inventory_landscape,Alanine(aq),Alanine(aq),M_bcd9cb2f0c3e,0.0,101325.0,0.0011221659951843,1.0,0.02,0.0416666666666666,0.0,2.083333333333333,0.0,ALA_INV_000011,0.0199667221297836,-1.6996932259551167,0.01999999999999992,-1.6989700043360205,True,significant,ok,nan,4.8768532196512665e-15,False
