case_id,study_id,substudy_id,target_product,target_variant,model_id,NH3_mol,HCN_mol,C2H2_mol,C2H2_over_HCN,deltaG_offset_kJ_mol,T_C,P_Pa,X_eq,log10_X_eq,n_eq_mol,log10_n_eq_mol,formed_bool,formation_call,solver_status,runtime_seconds
ALA_DG_000001,alanine_mvp,deltaG_sweep,Alanine(aq),Alanine__dG_m200(aq),M_300fcb5f23d0,0.05,0.02,0.042,2.1,-200.0,0.0,101325.0,0.0190114068441064,-1.7209857441537404,0.019999999999999955,-1.6989700043360196,True,significant,ok,0.0056774580007186
ALA_DG_000002,alanine_mvp,deltaG_sweep,Alanine(aq),Alanine__dG_m160(aq),M_7d069dd41e1e,0.05,0.02,0.042,2.1,-160.0,0.0,101325.0,0.0190114068441064,-1.7209857441537404,0.019999999999999955,-1.6989700043360196,True,significant,ok,0.0056827499938663
ALA_DG_000003,alanine_mvp,deltaG_sweep,Alanine(aq),Alanine__dG_m120(aq),M_12d766d35a37,0.05,0.02,0.042,2.1,-120.0,0.0,101325.0,0.0190114068441064,-1.7209857441537404,0.019999999999999955,-1.6989700043360196,True,significant,ok,0.0060030000022379
ALA_DG_000004,alanine_mvp,deltaG_sweep,Alanine(aq),Alanine__dG_m080(aq),M_3c084603959f,0.05,0.02,0.042,2.1,-80.0,0.0,101325.0,0.0190114068441064,-1.7209857441537404,0.019999999999999955,-1.6989700043360196,True,significant,ok,0.0058050420047948
ALA_DG_000005,alanine_mvp,deltaG_sweep,Alanine(aq),Alanine__dG_m040(aq),M_f98fc5fa997e,0.05,0.02,0.042,2.1,-40.0,0.0,101325.0,0.0190114068441064,-1.7209857441537404,0.019999999999999955,-1.6989700043360196,True,significant,ok,0.00550512499467
ALA_DG_000006,alanine_mvp,deltaG_sweep,Alanine(aq),Alanine__dG_000(aq),M_daee40960184,0.05,0.02,0.042,2.1,0.0,0.0,101325.0,0.0190114068441064,-1.7209857441537404,0.019999999999999955,-1.6989700043360196,True,significant,ok,0.0059335419937269
ALA_DG_000007,alanine_mvp,deltaG_sweep,Alanine(aq),Alanine__dG_p040(aq),M_29396f6a9c40,0.05,0.02,0.042,2.1,40.0,0.0,101325.0,0.0190114068441064,-1.7209857441537404,0.019999999999999955,-1.6989700043360196,True,significant,ok,0.0060477500082924
ALA_DG_000008,alanine_mvp,deltaG_sweep,Alanine(aq),Alanine__dG_p080(aq),M_79624aaaa3a1,0.05,0.02,0.042,2.1,80.0,0.0,101325.0,0.0190114068441064,-1.7209857441537404,0.019999999999999952,-1.6989700043360199,True,significant,ok,0.0058523750049062
ALA_DG_000009,alanine_mvp,deltaG_sweep,Alanine(aq),Alanine__dG_p120(aq),M_e1ce75efec46,0.05,0.02,0.042,2.1,120.0,0.0,101325.0,0.0190114068441064,-1.7209857441537404,0.019999999999999952,-1.6989700043360199,True,significant,ok,0.0063750419940333
ALA_DG_000010,alanine_mvp,deltaG_sweep,Alanine(aq),Alanine__dG_p160(aq),M_576a8b6b960b,0.05,0.02,0.042,2.1,160.0,0.0,101325.0,0.0190114068441056,-1.7209857441537588,0.01999999999999915,-1.6989700043360372,True,significant,ok,0.0059257909888401
ALA_DG_000011,alanine_mvp,deltaG_sweep,Alanine(aq),Alanine__dG_p200(aq),M_8940c7e30b50,0.05,0.02,0.042,2.1,200.0,0.0,101325.0,0.0190113697910705,-1.7209865905900323,0.019999963123428593,-1.6989708051013306,True,significant,ok,0.0054815420007798
ALA_INV_000001,alanine_mvp,inventory_landscape,Alanine(aq),Alanine(aq),M_bcd9cb2f0c3e,0.0,0.02,0.0,0.0,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0391426670103101
ALA_INV_000002,alanine_mvp,inventory_landscape,Alanine(aq),Alanine(aq),M_bcd9cb2f0c3e,0.0,0.02,0.0041666666666666,0.2083333333333333,0.0,0.0,101325.0,0.0041186161449752,-2.3852486824032293,0.004166666666666595,-2.3802112417116135,True,significant,ok,0.0034757499961415
ALA_INV_000003,alanine_mvp,inventory_landscape,Alanine(aq),Alanine(aq),M_bcd9cb2f0c3e,0.0,0.02,0.0083333333333333,0.4166666666666667,0.0,0.0,101325.0,0.0083056478405315,-2.080626486921809,0.008333333333333299,-2.079181246047627,True,significant,ok,0.001073625011486
ALA_INV_000004,alanine_mvp,inventory_landscape,Alanine(aq),Alanine(aq),M_bcd9cb2f0c3e,0.0,0.02,0.0125,0.625,0.0,0.0,101325.0,0.0125628140703517,-1.900913067737671,0.012499999999999975,-1.9030899869919444,True,significant,ok,0.0010194170026807
ALA_INV_000005,alanine_mvp,inventory_landscape,Alanine(aq),Alanine(aq),M_bcd9cb2f0c3e,0.0,0.02,0.0166666666666666,0.8333333333333334,0.0,0.0,101325.0,0.0168918918918918,-1.7723217067229222,0.016666666666666614,-1.778151250383645,True,significant,ok,0.0009826659952523
